LC_Up_Regulated_Genes,Signalling,DCT1,DCT2,DCT3,ERST2,ERST3,LC1,LC2,LC3
Xirp1,LC_DCT_LC_UP,0.69,0.71,0.51,0.21,0.25,6.55,7.7,6.36
Wwtr1,LC_DCT_LC_UP,9.9,9.71,9.46,11.91,10.32,30.35,32.92,30.8
Wwp2,LC_DCT_LC_UP,14.26,13.68,14.23,14.24,12.47,112.15,126.42,106.21
Wscd2,LC_DCT_LC_UP,0.59,0.36,0.33,0.84,0.99,5.9,7.62,5.98
Wsb1,LC_DCT_LC_UP,12.3,11.04,12.07,23.41,23.67,86.18,80.99,89.19
Wnk4,LC_DCT_LC_UP,9.74,11.65,5.45,6.27,7.47,75.27,77.9,66.24
Wnk2,LC_DCT_LC_UP,2.35,2.17,1.51,1.77,1.74,9,9.5,8.94
Wif1,LC_DCT_LC_UP,11.1,10.05,24.93,18.91,20.84,2084.71,2065.27,2101.76
Wfs1,LC_DCT_LC_UP,2.55,2.77,3.07,2.87,2.4,17.16,19.64,17.81
Wfikkn2,LC_DCT_LC_UP,0.1,0.33,0.06,0.06,0.18,3.39,4.26,3.06
Wfdc2,LC_DCT_LC_UP,0.49,0.37,0.26,1.19,0.28,729.64,858.82,720.93
Wfdc1,LC_DCT_LC_UP,5.33,4.38,2.33,10.54,9.24,25.71,36.7,26.98
Wdr60,LC_DCT_LC_UP,2.49,2.32,2.37,2.71,3.47,10.05,9.71,11.1
Vit,LC_DCT_LC_UP,1,0.52,1,2.21,2.05,14.46,16.6,14.23
Vim,LC_DCT_LC_UP,104.87,111.07,70.25,412.81,380.98,2218.24,2538.75,2209.61
Vill,LC_DCT_LC_UP,6.37,6.89,4.36,5.29,5.74,28.59,29.45,25.47
Vgll2,LC_DCT_LC_UP,0.45,0.75,0.6,0.79,0.93,16.3,20.54,16.55
Veph1,LC_DCT_LC_UP,0.04,0.02,0.29,0.07,0.08,3.88,3.14,3.62
Vegfb,LC_DCT_LC_UP,3.87,4.6,2.93,5.94,5.32,26.03,24.88,24.31
Vasn,LC_DCT_LC_UP,14.08,13.81,11.18,14.25,12.61,70.46,78.38,66.53
Vamp5,LC_DCT_LC_UP,22.97,22.38,14.05,30.41,27.65,73.15,95.5,75.65
Uts2r,LC_DCT_LC_UP,0.04,0,0,0.36,0.24,28.8,33.97,25.1
Usp13,LC_DCT_LC_UP,2.17,3.8,1.49,1.34,1.44,21.9,25.47,20.25
Usp11,LC_DCT_LC_UP,0.95,1.08,0.83,1.05,0.91,7.58,7.43,6.82
Upp2,LC_DCT_LC_UP,0.69,2.12,1.33,1.69,0.97,8.33,6.82,6.82
Unc5c,LC_DCT_LC_UP,0.05,0.07,0.27,0.04,0.07,7.86,5.18,5.11
Unc45b,LC_DCT_LC_UP,2.28,2.44,2.37,2.17,2.58,12.3,17.75,12.01
Ucma,LC_DCT_LC_UP,0,0,0,0.26,0.57,208.5,225.22,214.51
Uchl1,LC_DCT_LC_UP,1.72,1.03,0.68,1.14,1.4,31.65,34.11,25.86
Ubc,LC_DCT_LC_UP,358.37,341.41,253.95,435.25,256.18,1609.71,1926.45,1554.36
Txlnb,LC_DCT_LC_UP,2.33,1.79,1.61,0.62,0.54,13.96,12.85,15.79
Twf2,LC_DCT_LC_UP,11.11,11.99,11.52,17.28,15.28,63.42,76.36,57.13
Tvp23a,LC_DCT_LC_UP,0.17,0.3,0.09,0.67,0.45,3.59,4.83,3.17
Ttn,LC_DCT_LC_UP,98.39,87.95,51.84,15.22,15.65,357.35,390.21,380.4
Ttc36,LC_DCT_LC_UP,0.11,0.28,0.11,0.43,0.11,4.45,3.21,4.97
Tspyl2,LC_DCT_LC_UP,2.71,3.13,3.02,7.95,7.78,18.74,21.21,19.91
Tspan3,LC_DCT_LC_UP,91.05,93.02,93.2,81.64,70.39,254.96,286.76,248.14
Tspan2,LC_DCT_LC_UP,0.9,1.13,1.4,1.43,1.48,4.73,6.76,6.43
Tspan18,LC_DCT_LC_UP,2.58,4.07,4.54,5.2,4.64,31.85,34.79,28.77
Tsc22d1,LC_DCT_LC_UP,78.53,79.1,100.18,90.38,98.98,239.09,246.45,247.83
Trpv4,LC_DCT_LC_UP,3.69,3.06,3.86,6.46,4.53,55.71,62.55,51.44
Trim72,LC_DCT_LC_UP,0.47,0.41,0.54,0.46,0.34,3.43,4.49,4.15
Trim63,LC_DCT_LC_UP,6.43,6.15,3.84,1.55,1.87,28.84,29.15,29.32
Trim55,LC_DCT_LC_UP,0.35,0.8,0.33,0.21,0.33,3.34,5.08,3.05
Trim54,LC_DCT_LC_UP,4.86,4.92,2.82,2.66,2.4,82.17,98.16,83.17
Trim47,LC_DCT_LC_UP,7.28,6.77,4.68,34.07,27.21,164.11,200.72,153.57
Trim46,LC_DCT_LC_UP,0.27,0.32,0.16,0.47,0.35,15.31,19.07,15.91
Trf,LC_DCT_LC_UP,133.85,126.16,91.26,160.27,151.55,1354.1,1516.94,1321.83
Trdn,LC_DCT_LC_UP,11.81,11.2,8.73,2.52,3.22,72.06,61.05,79.9
Trabd2b,LC_DCT_LC_UP,1.94,2.05,2.01,2.32,2.23,19.37,20.62,20.14
Tppp3,LC_DCT_LC_UP,61.93,62.56,56.57,108.25,102.27,241.06,290.5,237.7
Tpm2,LC_DCT_LC_UP,384.57,373.15,228.92,82.94,86,1332.87,1428.46,1338.94
Tpm1,LC_DCT_LC_UP,783.82,772.04,608.97,188.09,200.84,2655.95,2904.05,2723.08
Tor1aip1,LC_DCT_LC_UP,9.8,8.32,12.57,19.37,19.4,47.1,53.36,45.8
Tns3,LC_DCT_LC_UP,2.48,2.22,1.65,2.54,2.32,12.07,12.38,11.7
Tns2,LC_DCT_LC_UP,3.06,3.09,1.75,7.62,7.09,42.89,49.76,40.54
Tns1,LC_DCT_LC_UP,8.55,8.63,4.9,22.72,20.62,65.93,73.33,61.9
Tnrc18,LC_DCT_LC_UP,2.93,2.58,2.84,6.05,6.21,16.94,18.79,16.59
Tnnt3,LC_DCT_LC_UP,686.39,660.84,390,144.65,159.39,2217.93,2254.15,2254.28
Tnnt1,LC_DCT_LC_UP,4.52,4.06,1.75,6.13,6.11,615.03,653.03,647.3
Tnni2,LC_DCT_LC_UP,405.76,422.71,202.42,123.48,109.91,4286.36,4887.96,4306.05
Tnni1,LC_DCT_LC_UP,17.58,17.72,10.61,1.85,2.06,108.35,129.13,101.37
Tnnc2,LC_DCT_LC_UP,1929.61,1906.88,998.05,348.56,390.1,5107.01,5708.16,5133.23
Tnnc1,LC_DCT_LC_UP,0.67,1.26,0.3,1.3,1.19,76.34,94.67,87.67
Tnfrsf11b,LC_DCT_LC_UP,2.6,3.03,4.04,2.72,2.6,13.41,12.17,15.33
Tnfaip3,LC_DCT_LC_UP,2.38,2.48,2.47,1.85,1.48,10.69,12.16,10.96
Tmod4,LC_DCT_LC_UP,23.16,22.27,12.99,11.96,12.83,61.41,69.17,59.02
Tmod1,LC_DCT_LC_UP,7.47,7.69,4.17,3.62,4.27,23.49,20.6,23.55
Tmem8b,LC_DCT_LC_UP,0.72,0.9,0.66,1.52,1.76,6.48,5.7,6
Tmem52,LC_DCT_LC_UP,7.36,7.22,6.66,6.21,4.45,37.43,47.96,38.56
Tmem38a,LC_DCT_LC_UP,19.08,20.31,12.9,13.58,12.99,92.6,100.19,85.5
Tmem255b,LC_DCT_LC_UP,2.76,1.89,2.37,3.6,4.45,12.85,17.31,14.12
Tmem25,LC_DCT_LC_UP,0.26,0.44,0.5,0.31,0.68,3.51,4.11,3.84
Tmem213,LC_DCT_LC_UP,0.15,0,0,0,0.41,29.21,26.54,27.72
Tmem212,LC_DCT_LC_UP,0,0,0,0.13,0,3.13,2.35,1.81
Tmem204,LC_DCT_LC_UP,4.95,5.93,3.12,11.04,10.84,30.8,36.35,27.36
Tmem202,LC_DCT_LC_UP,0.49,0.38,0.36,0.93,0.8,6.04,5.98,7.69
Tmem200b,LC_DCT_LC_UP,0.33,0.14,0.22,1.07,1.45,8.32,8.13,8.87
Tmem191c,LC_DCT_LC_UP,1.41,1.56,1.25,5.14,3.8,17.17,28.64,19.48
Tmem182,LC_DCT_LC_UP,3.9,4.12,3.31,1.66,1.67,17.75,15.71,16.13
Tmem117,LC_DCT_LC_UP,0.15,0.13,0.46,1,1.15,4.37,4.69,5
Tle2,LC_DCT_LC_UP,4.13,3.12,2.11,5.03,4.83,13.04,17.18,11.14
Tle1,LC_DCT_LC_UP,5.57,5.64,6.94,11.02,11.42,30.02,33.25,30.41
Timp4,LC_DCT_LC_UP,0.35,0.36,1.01,2.64,1.97,58.22,64.73,61.69
Timp3,LC_DCT_LC_UP,63.47,62.89,67.9,52.33,52.27,1108.37,1047.96,1112.61
Timp2,LC_DCT_LC_UP,44.06,44.4,31.54,88.94,94.96,335.08,359.33,328.26
Thra,LC_DCT_LC_UP,18.86,21.71,13.13,34.87,31.31,90.62,107.89,92.1
Thnsl2,LC_DCT_LC_UP,2.67,3.98,1.57,6.26,5.03,16.76,19.32,13.73
Thbs4,LC_DCT_LC_UP,1.5,1.66,1.17,2.95,2.82,106.25,118.15,100.32
Thbs1,LC_DCT_LC_UP,19.5,20.37,15.83,7.75,7.12,96.83,89.45,100.6
Thbd,LC_DCT_LC_UP,3.89,4.67,3.06,6.18,5.5,24.24,25.59,22.51
Tgm2,LC_DCT_LC_UP,5.63,6.56,3.96,8.67,7.44,24.18,30.2,23.28
Tgfbr3,LC_DCT_LC_UP,4.12,4.46,3.13,8.63,8.15,24.63,23.28,24.48
Tgfb3,LC_DCT_LC_UP,1.59,1.44,1.25,9.39,8.55,70.16,76.01,65.79
Tgfb2,LC_DCT_LC_UP,3.19,3.43,4.19,9.48,10.47,33.58,36.8,33.76
Tesk1,LC_DCT_LC_UP,0.75,0.9,0.32,1.05,1.18,5.48,7.77,7.21
Tenm3,LC_DCT_LC_UP,0.27,0.25,0.25,1.41,1.49,7,7.97,6.92
Tekt2,LC_DCT_LC_UP,0.4,0.71,0.89,4.33,3.35,13.43,17.86,14.2
Tcf4,LC_DCT_LC_UP,25.7,21.94,31.28,59.38,58.96,153.47,174.71,158.54
Tcerg1l,LC_DCT_LC_UP,0,0.03,0,0.03,0.05,6.92,5.45,4.99
Tceal5,LC_DCT_LC_UP,2.03,1.08,0.89,0.65,0.61,20.41,18.61,20.14
Tceal3,LC_DCT_LC_UP,7.64,10.32,4.04,1.14,1.51,24.87,28.54,28.13
Tcea3,LC_DCT_LC_UP,14.18,13.82,11.69,17.41,18.97,44.34,47.79,45.6
Tcea2,LC_DCT_LC_UP,1.87,3.06,2.06,6.3,5.41,22.37,29.3,16.09
Tcap,LC_DCT_LC_UP,256.29,256.63,80.33,116.12,99.72,4736.45,5504.78,4543
Tbx15,LC_DCT_LC_UP,3.82,3.84,3.02,9.16,8.65,22.7,22.39,24.12
Synpo2l,LC_DCT_LC_UP,1.43,1.2,0.57,0.36,0.47,15.77,17.34,15.67
Synpo2,LC_DCT_LC_UP,6.88,7.37,5.03,3.22,2.31,27.52,28.69,25.85
Synpo,LC_DCT_LC_UP,4.43,4.99,3,4.42,4.31,51.03,55.67,50.02
Sync,LC_DCT_LC_UP,0.46,0.53,0.29,0.44,0.28,4.35,3.81,3.87
Syn3,LC_DCT_LC_UP,0.4,0.48,0.61,0.42,0.41,4.07,3.82,3.5
Syde1,LC_DCT_LC_UP,1.62,1.43,1.14,2.14,2.11,10.95,11.05,10.91
Susd5,LC_DCT_LC_UP,0.09,0.11,0,0.23,0.13,65.14,64.62,63.92
Stxbp1,LC_DCT_LC_UP,0.72,1.15,0.82,4,3.26,15.91,17.97,16.1
Stmnd1,LC_DCT_LC_UP,0.39,0.07,0.22,0.26,0.16,3.02,3.4,3.98
Stk32b,LC_DCT_LC_UP,0,0.03,0,0.23,0.19,23.95,23.93,20.95
Steap3,LC_DCT_LC_UP,6.49,6.72,5.64,16.17,13.65,34.68,48.96,33.79
Stc2,LC_DCT_LC_UP,0.78,0.68,0.69,2.61,2.7,24.04,26.72,24.25
Stard13,LC_DCT_LC_UP,0.5,0.61,0.59,2.84,2.06,17.02,17.9,14.65
St8sia5,LC_DCT_LC_UP,0.22,0.25,0.4,0.23,0.33,2.45,3.08,2.86
St3gal6,LC_DCT_LC_UP,3.42,3.83,5.01,12.14,8.8,38.03,43.44,35.56
St3gal5,LC_DCT_LC_UP,9.07,10.24,9.45,11.43,12.23,28.32,32.54,27.94
Sspn,LC_DCT_LC_UP,2.8,2.75,2,5.73,5.63,27.22,26.94,26.68
Srpx2,LC_DCT_LC_UP,1.91,1.65,1.29,10.99,9.47,28.34,32.01,26.55
Srpk3,LC_DCT_LC_UP,2.76,3.03,1.35,2.19,1.09,12.93,13.39,11.51
Srl,LC_DCT_LC_UP,9.73,11.58,8.93,4.52,4.89,33.22,39.17,34.01
Srgap3,LC_DCT_LC_UP,0.29,0.33,0.28,0.59,0.42,3.11,3.32,3.42
Srebf1,LC_DCT_LC_UP,11.97,14.09,11.64,41.72,34.67,158.03,173.99,162.74
Srcap,LC_DCT_LC_UP,3.95,3.34,5.13,5.34,4.96,18.01,21.33,17.78
Spp1,LC_DCT_LC_UP,4.21,4.05,2.9,8.12,7,60.37,68.11,60.55
Spock2,LC_DCT_LC_UP,0.23,0.28,0.27,0.73,0.93,7.85,8.87,8.13
Speg,LC_DCT_LC_UP,1.44,1.76,1.31,1.31,1.44,6.41,10.13,7.52
Spats2l,LC_DCT_LC_UP,1.3,1.69,2.27,7.62,7.72,24.37,25.97,27.67
Sparcl1,LC_DCT_LC_UP,14.64,14.32,13.7,35.22,38.46,144.64,143.51,143.5
Sparc,LC_DCT_LC_UP,625.93,619.91,418.62,3879.22,3449.54,7857.73,8672.22,7514.69
Sox8,LC_DCT_LC_UP,0.07,0.23,0.07,0.83,0.55,12.02,11.58,10.56
Sox6os,LC_DCT_LC_UP,0.82,1.35,0.24,0.64,1.81,5.28,5.14,5.72
Sox6,LC_DCT_LC_UP,1.57,2.15,2.05,7.67,5.95,35.97,32.95,27.29
Sox5,LC_DCT_LC_UP,2.62,2.24,3.59,1.1,0.85,52.71,60.43,43.05
Sorbs3,LC_DCT_LC_UP,6.27,7.11,5.19,11.19,10.31,37.01,40.2,36.25
Sorbs2,LC_DCT_LC_UP,1.72,1.71,2.82,3.26,2.68,17.34,17.81,19.52
Sod3,LC_DCT_LC_UP,8.25,7.41,4.77,22.26,17.79,176.24,204.06,174.8
Socs3,LC_DCT_LC_UP,6.01,5.87,7.35,7.59,6.63,178.67,205.91,181.73
Socs1,LC_DCT_LC_UP,6.75,6.96,5.95,14.85,13.26,31.54,39.76,30.31
Sobp,LC_DCT_LC_UP,0.25,0.19,0.1,0.48,0.38,4.31,4.33,4.9
Snx22,LC_DCT_LC_UP,0.34,0.27,0.32,2.37,2.52,10.8,9.8,8.88
Snta1,LC_DCT_LC_UP,4.09,5.49,4.46,10.52,8.91,48.12,63.13,48.17
Snora31,LC_DCT_LC_UP,3.92,0,0,3.25,3.73,39.9,40.43,29.32
Sncg,LC_DCT_LC_UP,54.67,58.83,29.29,75.38,74.39,818.47,903.38,781.76
Snai1,LC_DCT_LC_UP,1.55,1.77,1.14,9.45,7.89,29.98,37.92,28.6
Smtnl1,LC_DCT_LC_UP,8.24,6.56,4.59,1.79,2.06,83.94,93.4,89.2
Smpx,LC_DCT_LC_UP,43.44,48.61,25.3,13.35,15.44,198.91,198.78,208.15
Smoc2,LC_DCT_LC_UP,17.19,18.14,16.44,48.21,44.41,418.54,468.68,392.29
Smoc1,LC_DCT_LC_UP,5.44,6.08,3.46,2.12,2.47,24.55,28.62,24.74
Smim6,LC_DCT_LC_UP,2.14,2.58,2.34,1.62,2.32,9.62,11.06,10.87
Smim3,LC_DCT_LC_UP,2.98,3.15,4.11,5.4,6.43,50.65,48.44,50.04
Smarcd3,LC_DCT_LC_UP,2.71,2.88,1.76,3.42,3.92,20.34,23.31,19.8
Sln,LC_DCT_LC_UP,43.35,43.97,1.81,15.16,16.19,859.03,947.79,836.64
Slc9a9,LC_DCT_LC_UP,2.59,1.8,2.11,5.63,4.88,28.59,33.3,30.85
Slc9a8,LC_DCT_LC_UP,3.99,4.17,2.84,5.02,4.87,13.26,16.81,15.36
Slc8a3,LC_DCT_LC_UP,0.1,0.12,0.14,0.16,0.12,4.63,6.57,5.29
Slc6a12,LC_DCT_LC_UP,0.19,0.53,0.36,0.49,0.49,3.25,3.31,3.71
Slc4a3,LC_DCT_LC_UP,0.83,0.99,0.71,1.59,1.02,16.17,19.83,16.14
Slc38a2,LC_DCT_LC_UP,20.92,21.05,21.27,27.2,24.74,78.53,71.49,79.9
Slc2a4,LC_DCT_LC_UP,6.77,4.74,4.39,4.97,4.77,39.83,47.96,37.62
Slc2a1,LC_DCT_LC_UP,7.91,7.85,7.43,16.6,14.98,78.64,75.73,74.73
Slc25a4,LC_DCT_LC_UP,206.24,200.22,239.09,153.39,178.86,924.77,1006.18,923.06
Slc20a1,LC_DCT_LC_UP,3.24,3.29,3.65,8.07,8.58,36.24,35.47,34.36
Slc1a5,LC_DCT_LC_UP,24.51,23.44,12.99,31.61,28.88,118.58,134.34,127.19
Slc1a4,LC_DCT_LC_UP,3.9,3.7,3.37,4.63,4.2,15.36,15.62,14.43
Slc16a2,LC_DCT_LC_UP,1.14,1.35,1.2,3.62,3.72,11.36,11.05,11.54
Slc12a2,LC_DCT_LC_UP,3.97,4.13,4.26,5.36,5.6,19.25,14.93,19.84
Ski,LC_DCT_LC_UP,7.92,7.67,6.89,10.85,10.78,27.94,27.8,28.58
Six1,LC_DCT_LC_UP,0.94,1.22,0.76,0.48,0.5,6.51,8.2,6.4
Sik2,LC_DCT_LC_UP,2.57,2.89,4.23,4.36,4.6,25.35,25.14,26.45
Shroom1,LC_DCT_LC_UP,0.18,0.25,0.26,0.36,0.3,3.48,4.14,3.5
Shisa8,LC_DCT_LC_UP,0,0,0.08,0.29,0.11,3.63,5.53,3.36
Shisa4,LC_DCT_LC_UP,13.55,14.34,5.56,7.78,8.66,67.3,75.27,66.95
Sh3bgr,LC_DCT_LC_UP,17.15,16.81,9.64,4.69,3.87,49.02,44.48,48.46
Sgcg,LC_DCT_LC_UP,6.97,7.39,4.54,2.22,2.52,40.15,45.82,38.13
Sgce,LC_DCT_LC_UP,12.08,10.46,9.63,16.16,18.1,42.22,40.92,43.11
Sgca,LC_DCT_LC_UP,5.44,5.36,4.31,3.71,4.04,46.18,48.47,45.17
Sfrp5,LC_DCT_LC_UP,1.71,1.82,0.96,4.02,3.43,32.29,37.73,35.8
Setbp1,LC_DCT_LC_UP,1.1,1.04,0.85,0.79,0.94,5.41,4.69,5.27
Sestd1,LC_DCT_LC_UP,0.46,0.65,0.34,3.18,3.22,14.46,17.53,14.05
Sertad4,LC_DCT_LC_UP,3.64,3.54,3.12,7.17,6.12,20.29,19.22,19.37
Serpine2,LC_DCT_LC_UP,10.86,12.06,15.44,18.42,21.51,195.88,253.36,195.88
Serpine1,LC_DCT_LC_UP,0.06,0.13,0.66,0.52,0.85,17.81,18.99,20.27
Serpina3n,LC_DCT_LC_UP,7.19,7.59,5.41,30.07,26.83,263.5,299.41,255.98
Sema6c,LC_DCT_LC_UP,0.93,1.33,1.25,2.71,1.93,9.66,12.74,9.16
Selenbp2,LC_DCT_LC_UP,0.11,0,0,1.45,3.08,12.99,10.02,9.18
Sel1l3,LC_DCT_LC_UP,0.31,0.46,0.28,0.41,0.49,3.77,3.8,3.68
Sec14l1,LC_DCT_LC_UP,9.17,8.99,9.45,15.47,14.02,36.66,41.03,37.19
Sdk2,LC_DCT_LC_UP,0.29,0.31,0.42,0.5,0.78,10.87,13.51,12.08
Sdf4,LC_DCT_LC_UP,79.99,81.41,71.76,136.38,135.77,323.5,375.95,315.65
Scx,LC_DCT_LC_UP,1.85,2.5,1.49,0.69,1.16,17.17,24.08,17
Scube1,LC_DCT_LC_UP,0.2,0.3,0.32,0.23,0.2,33.58,38.03,31.3
Scrn1,LC_DCT_LC_UP,1.94,1.3,0.63,4.11,4.21,12.07,13.87,12.16
Scn2a1,LC_DCT_LC_UP,0.08,0.19,0.2,0.09,0.24,2.29,2.42,2.49
Scn1b,LC_DCT_LC_UP,11.89,10.92,6.25,14.01,13.64,104.68,123.48,106.26
Scin,LC_DCT_LC_UP,4.97,5.93,6.56,15.94,15.52,39.61,38.8,41.43
Scarf2,LC_DCT_LC_UP,1.55,1.5,0.9,12.99,10.3,48.95,67.75,52.63
Scara3,LC_DCT_LC_UP,5.17,5.16,3.81,18.16,15.26,232.55,271.8,232.05
Sat2,LC_DCT_LC_UP,4.68,3.18,4.03,6.26,5.64,20.27,21.89,19.02
Samd4,LC_DCT_LC_UP,2.21,2.65,1.94,1.98,2.08,15.74,16.15,15.97
Samd14,LC_DCT_LC_UP,1.25,1.16,0.85,1.13,1.08,6.76,7.04,5.74
S100b,LC_DCT_LC_UP,4.07,4.61,3.98,7.97,8.16,363.33,352.94,360.37
S100a5,LC_DCT_LC_UP,0,0,0,0,0.26,5.23,6.55,11.35
S100a4,LC_DCT_LC_UP,138.12,141.79,69.33,1059.14,828.99,6280.32,7403.08,6151.9
Ryr1,LC_DCT_LC_UP,2.45,2.62,1.39,0.59,0.57,16.46,17.6,15.27
Rusc2,LC_DCT_LC_UP,1.25,1.54,1.47,4.64,3.56,13.51,14,13.84
Rtn2,LC_DCT_LC_UP,26.86,25.96,14.06,15.97,14.04,99.59,108.52,98.06
Rsph9,LC_DCT_LC_UP,11.61,10.3,4.42,5.77,5.14,30.58,36.24,32.98
Rsph1,LC_DCT_LC_UP,0.4,0.92,0.53,0.81,1.31,6.43,7.18,5.28
Rsc1a1,LC_DCT_LC_UP,0,0,0,0,0,2.16,4.79,2.26
Rras,LC_DCT_LC_UP,16.38,13.95,7.05,19,16.11,58.75,67.33,59.78
Rrad,LC_DCT_LC_UP,0.56,1.36,0.66,2.53,2.03,43.55,46.64,42.27
Rps2-ps10,LC_DCT_LC_UP,7.47,11.57,10.38,75.47,77.67,597.22,673.68,595.73
Rps11-ps1,LC_DCT_LC_UP,2.32,2.19,1.73,5.42,3.65,26.86,36.62,32.69
Rpl3-ps1,LC_DCT_LC_UP,0.47,0,0,0.19,0.5,364.41,446.24,358.56
Rpl3l,LC_DCT_LC_UP,11.66,10.33,7.82,4.77,4.79,56.7,65.38,58.07
Rpl35a-ps6,LC_DCT_LC_UP,31.48,29.88,4.6,30.04,18.18,89.36,96.93,93.93
Rpl35a-ps4,LC_DCT_LC_UP,31.48,29.88,4.6,30.04,18.18,89.36,96.93,93.93
Rpl35a-ps3,LC_DCT_LC_UP,31.48,29.88,4.6,30.04,18.18,89.36,96.93,93.93
Rpl35a-ps2,LC_DCT_LC_UP,31.48,29.88,4.6,30.04,18.18,89.36,96.93,93.93
RP24-464A7.1,LC_DCT_LC_UP,0.5,0.49,1.42,0.61,0.52,4.63,3.88,5.24
RP23-56N1.3,LC_DCT_LC_UP,0.06,0,0.03,0.03,0.08,6.05,5.47,5.14
RP23-281H4.12,LC_DCT_LC_UP,6.99,10.63,8.23,5.74,6.15,81.63,79.03,85.37
RP23-214M22.8,LC_DCT_LC_UP,0,0,0.61,0,0,1.8,3.4,3.15
RP23-174K7.2,LC_DCT_LC_UP,0.23,0.19,0.35,0.71,0.54,17.65,20.65,16.75
Rnd1,LC_DCT_LC_UP,1.58,0.95,1.09,0.89,1.25,17.55,18.38,17.84
Rn7s2,LC_DCT_LC_UP,351.39,368.03,249.64,172.46,148.02,3377.1,3764.11,3256.33
Rn7s1,LC_DCT_LC_UP,351.39,368.03,249.64,172.46,148.02,3377.1,3764.11,3256.33
Rn18s-rs5,LC_DCT_LC_UP,3860.85,3898.37,3223.89,906.26,771.09,11261.51,10453.62,11772.48
Rlbp1,LC_DCT_LC_UP,0.11,0.3,0,0.14,0.08,4.02,3.58,3.95
Rilpl2,LC_DCT_LC_UP,6.71,8.14,6.8,13.61,11,28.61,39.27,31.52
Rilpl1,LC_DCT_LC_UP,3.13,2.98,4.24,3.94,4.35,28.21,35.05,30.1
Rilp,LC_DCT_LC_UP,0.96,1.27,0.65,2.8,3.22,19.33,20.23,18.84
Ric3,LC_DCT_LC_UP,0.25,0.18,0.3,0.45,0.32,3.46,2.84,4.43
Rhox8,LC_DCT_LC_UP,1.75,1.03,1.4,0.58,1.96,5.58,6.23,7.23
Rhoj,LC_DCT_LC_UP,9.97,9.53,7.89,17.37,16.58,39.38,55.18,41.7
Rhoc,LC_DCT_LC_UP,35.15,35.14,21.21,49.21,45.91,116.24,133.53,110.2
Rgs7bp,LC_DCT_LC_UP,0.41,0.31,0.48,1.2,1.02,11.62,11.18,11.47
Rgs3,LC_DCT_LC_UP,10.44,9.35,11.14,12.4,12.43,48.27,53.98,48.58
Rgs17,LC_DCT_LC_UP,0.05,0.13,0.09,0.09,0.09,1.2,1.76,2.88
Rgs16,LC_DCT_LC_UP,0.82,0.92,1.52,1.67,1.45,6.65,7.37,6.68
Rgs11,LC_DCT_LC_UP,0.49,0.36,0.92,4.17,3.46,16.62,20.83,23
Rftn2,LC_DCT_LC_UP,1.16,1.06,0.96,5.46,4.52,32.76,36.03,34.55
Reg2,LC_DCT_LC_UP,0.34,0.25,3.53,8.5,4.27,18.6,21.74,23.66
Reck,LC_DCT_LC_UP,2.95,2.96,1.48,10.41,9.07,68.64,65.67,67.14
Rcan2,LC_DCT_LC_UP,0.51,0.62,0.5,1.28,1.29,15.82,15.66,12.27
Rbpms2,LC_DCT_LC_UP,1.21,1.03,0.45,0.93,0.99,5.47,5.74,4.7
