Gene_Name,D33_1,D33_2,D33_3,AD_1,AD_2,AD_3,rib1,rib2,rib3
Slc12a7,32,62,45,441,305,358,693,1134,1004
Map3k1,48,93,17,448,385,425.16,1373,837,1514
Lama5,6,7,10,75,55,54,742,154,232
Il34,23,33,52,320,248,303,44,10,18
Adssl1,4,6,15,75,58,69,278,516,786
Edem1,93,173,122,1267,853,1033,2794,3854,5376
Gys1,91.29,142.77,99.21,1055,753.13,914.53,3116.99,1323.27,3039.56
Ifih1,15,18,26,187,130,167,386,805,925
Nudt7,72.51,137.2,74,868,664,810,62,63,75
Il10ra,8,7,8,61,44,87,167,696,599
Osr2,6,14,20,131,89,115,6,5,1
Fcgr2b,14.65,20.03,19.98,185.82,126.52,146.92,289.87,753.74,829.34
Il18bp,6,10,7,81,42,76,97,197,91
RP23-133I9.7,6.98,9.12,2.75,68.09,42.19,53.56,1.3,3.79,0
Gm16042,2.18,0.55,0.67,7.87,10.67,11.04,60.08,59.77,44.47
Bnip3,574,843,396.99,5888,4560.93,5333,12721.38,5068.46,10071.97
Ncaph,2,2,5,30,28,21,115,155,181
Myo1b,20.98,39.66,49,401,261,308,915.16,344.14,885.88
Cd37,6,5,13,68,57,88,225,969,671
Znrf2,20,24,11,181,151,157,421,753,765
Rb1,37,56.29,28.51,404.96,323.57,354.87,508.91,601.82,635
Stap2,5,3,5,48,32,37,91,49,54
Shc2,1,3,1,19.01,12,14,93,37,83
Tyrobp,34,26,28,289,211,297,591,2660,1802
Hist1h2ba,0,1.51,2.05,11.22,8.21,12.92,1.5,0,0
H2-DMa,16,18,18,165,131,179,260,315,168
Gja1,83,111,87,1016,695,856,8944,867,2904
Gpr35,2.19,2.22,0.48,21,10,14,102.12,104.96,159
Ampd3,11,20.47,14,162,121.06,136.06,617.41,1227.79,1843.22
Baz1a,14,8,1,86,54,73,473,495,723.63
Gstz1,553.95,970.88,540,7328.99,5176.99,6675.99,334.18,365.2,331.66
Adamts5,87,168,246,1744,1350,1578,196,15,122
Btg1,296.06,404.08,272.28,3439.62,2623.1,3022.37,10349,4782,7875
Evi2a,6.87,15.96,9,113.74,81.16,106.61,198.75,798.99,608.41
Prrt4,4,6,17,95,77,84,2,3,4
Atp10d,27.66,46.3,28,348.44,254,365.85,905,633.01,339
Gm5177,2.17,1.4,0,8.7,7.52,17.73,0,0,1.02
Snn,10,20,8,146,97,121,215,229,144
Rassf2,25.98,29.62,22.07,288.72,212.68,246.02,202.01,1024.94,578.87
Esr1,66,111.16,99,1026,764,890,27,9.02,34
Gm37653,1,7,0,25,28,25,2,1,0
Slc26a10,10,7,5,95,48,72,4,0,4
Alox5ap,5,10,17,130,78,107,280.9,1169.83,1165.92
Olfm1,26,50,70,559,385,504,1039,282,634
Arap2,13,26,10,178.11,130,180.01,402,152,140
Ralgds,50,78,97,873,615,765,874,1628,1807
Ptpre,16.04,9.05,7,126,81,116,562,743.88,944
Slco2b1,29.65,47.52,44.64,459.91,352,438.69,568.42,628,389
Fabp5,259.55,290.27,225.68,2968.51,2133.98,2865.93,1071.04,8299,4416
Lnx1,5.17,12.62,16.98,147.14,100.91,111.7,12.03,7.64,4.46
Adamts12,4,6,6,64,49,53,118,133,129
Notch3,12,6.46,11.4,137.74,78.77,93.64,253.87,102,162.83
Tifab,4,1,2,41,16,16,96,343,157
Gm14584,0.93,2.47,0,16.3,8.03,11.27,113.25,84.18,109.12
Icosl,2,4,4,41,24,40,92,143,602
Nbeal2,5,10,3,73,67,50,132,182,165
Pld4,21,18,21,254,188,193,342,2484,1101
Slc44a3,28.51,26.71,12.99,268.71,200.59,254.6,8,2.17,3
Hvcn1,3.56,7.7,22.01,129.04,105.1,119.67,378.83,1033.06,928.61
Isg20,5,9,13,110,74,104,809,518,471
Nfam1,8,11,3,95,72,69,239,1036,796
Fosl2,23,28,18,303,176,266,2673,1186,3967
Pstpip2,1,5,3,28.94,23,46,72.94,179.54,216.81
Pgrmc2,29,61,35,532,424,409,1626,971,1418
C1qc,58,56,64,722,536,696,695,6520,3536
Gm13889,1,1,1,8,13,12,117.27,43,157.65
Gm16163,0,0.89,4.44,28.73,14.48,15.43,0,0,2.49
Irgm2,5.5,19.63,16.56,183.76,111.03,166.11,326.54,496.96,335.42
Tap1,26,52.64,59,594.91,422,506.09,603.95,1037.98,552.83
Ccr2,5,5,9.01,80.08,66.03,65.48,69.5,129.15,111.03
Mest,139,233,173.47,2310.39,1745,2096.63,4446.92,2551.18,5709.5
Vnn1,7,13,7,109,88,109,389,359,256
Stat1,37.43,89.89,68.01,830.96,639.56,743.48,1566.06,2610.48,1166.04
Neurl1b,1,1,3,26,16,15,117,60,102
Aplp1,1,2,1,19,11,16,160,47,56
Klhl13,36,66,34,591,444,535,3184.88,4410.1,1441.41
Chrdl1,87,120,129,1487,1142,1261,2901,4194,3491
Rac2,12.35,19.16,6.92,179.75,135.75,135.49,626.62,1677.57,1398.06
Parp9,16,51,48.69,514.76,396,448.87,418.85,722.44,471.72
Taco1,7,4,4.59,66.92,53,63.78,90.73,132.77,105.48
Pyroxd2,10,36,15,267,236,218,752,746,333
Sla,2,7,3,59,31,52,50,119,121
Car13,17,41,13,327,221,294,218,514,485
Sulf2,75.59,152.97,56,1341.74,945.08,1095.18,1263.25,994.08,2430.24
Coro1a,19,12,37,293,229,296,577,2104,1651
Nes,4,9,13,129,79,105,638,391,283
Serpina3c,169.33,141.21,51.7,1625.61,1221.63,1554.75,41.06,2.81,75
Aif1,4,2,4,48,43,31,116,366,142
Fcgr3,11.28,13.67,17.46,211.89,152.62,163.03,282.86,1908.42,1447.2
Fgf11,3.1,1.02,0,23.02,13.98,14.32,109,75,106.01
Rasal3,0,0,2,13,7,5,38,154,115
Akr1b8,9,15.33,30,250.05,179,251,441.35,2295.68,2411.17
Hist1h4h,5.57,5.81,22.76,167.92,138.9,120.75,9.13,0,8.23
Tfpi,14,10,14,195,143,142,140,266,231
Tpsb2,0,1,2,13,9,16,77,131,179
Gcnt2,16.01,12,6,178.93,95.82,163.2,316.17,459.18,240.63
Gm13212,1.16,1.07,2.29,17.87,13.22,27.23,71.23,122.98,166.48
Rnf125,32,57,34,647,410,537,43,6,19
Lamc2,0,1,1,10,9,7,60,43,93.05
Ddx60,2,6,3,57,45,42,249,711,310
Ltc4s,78.9,81.95,75,1234.89,860.94,994.69,8,37.97,17
Jag1,27,38,18,429,295,364,225,512,846
Slc16a6,1,10,2.59,68.96,48,61.4,125.56,334.18,312.97
Ccdc67,1,1.1,0,14,9,5,1,0,0
Tstd3,16.12,19.56,2.77,199.99,125.76,189.43,185.76,165.03,127.81
Lrrc8b,7,7,8,117,94,85,83,126,176
Cnksr1,7,4,6,83,52,94,202,139,63
Nkain4,0,2,2,24,9,21,0,0,1
Agmo,40.34,51.78,15,560.03,395,499,23.14,14,20
Il4ra,26,42,68,707.8,506,636,1189,1446,1311
Ugt1a7c,6.14,13.9,5.96,137.15,108.03,111.44,224.79,924.85,676.75
Ptp4a1,582.02,1006.46,375.57,10286.2,7948.53,8710.6,19232.67,9077.18,8030.57
H2-Q1,0,1.39,1.51,17.53,8.52,14.24,76.73,46.64,39.53
Rgs14,1,1,0,13,7,8,61,198,100
Tmem106a,11.79,42.57,47,513,374,537,491,2622,1338
Gja4,5,5,11,104,80,115,4,5,4
Esyt1,117,202.71,199,2888,1909.94,2588.96,1869.13,2382.36,2195.41
Plk2,41,70,49,880,645,757,2870,1154,2242
Tmem37,12,28,9,257,160,285,72,496,339
Jak3,27.55,26.8,9.19,334.07,268.47,310.4,1635.83,1022.4,502.21
Gm12002,2.32,2.98,1,39.03,25,27.02,2.05,0,0
Dock10,6,6,3,82,61,74,126,473,902
Ackr1,1,2,7,60.99,35,49,1.63,0,0
Tes,5,6,8.19,110.96,75.4,92.07,286.82,273.07,319.85
Dok2,5,5,11,117,76,112,86,475,264
Ddo,14.24,13.41,6,173,128,188,1,2,0
Ptpro,3.24,3,5.01,60,58,46,101,568,337
Stom,72,131,62,1446,1076,1348,1945,1167,1321
Apcdd1,4,6,7,81,63,106,81,56,125
Lair1,2,4,1,36,30,37.04,41.04,85.94,142.91
Stk10,8.59,5.29,7,146,66,96,651,841,634
Sfrp4,1,5,7,67,57,68,77,30,72
Lmo2,4,3,7,71,61,76,225,942,644
Xlr,0.99,1,0,17.81,7,5,22.6,82.94,93.38
Cldn22,2,5.23,2.75,51,45,54,0,0,1
Pira2,1.5,1,1.69,11.89,27.67,23.49,69.68,148.31,338.43
Plekha2,24.02,24.91,23.01,415.51,299,370.73,650.71,868,1052.59
Gbp6,11.75,18.07,6.89,197.92,156.82,200.64,121.71,192.56,331.25
Dtx3l,23.92,27.95,15.91,402.44,282.77,342.06,520.27,880.05,622.71
Trp53i11,16.92,41.55,27,505.73,357,435.19,810,186,169
Neurl3,3.49,10.12,3.18,90.02,71.96,93.02,78.02,212.01,255.05
AI662270,2,1,2,35,22,19,102,330,272
Pygl,129,237,134,2933,2090,2656,3089,2172,2408
Rtn4rl1,17,35,21,449,290,384,15,13,22
Anxa3,27,30,17,448,292,399,1333,1467,1269
Ppp1r15a,96,141,119,2014,1498,1973,2016,898,2505
Kcne4,2,4,1,36,26,46,107,39,90
Gprc5b,14.74,18.47,14,266.49,197.93,264,219.64,800,639
Adgrd1,1,7,13,122,72,131,107,83,108
Kif23,0,1,1,9,13,9,104,68,183
Gpr1,1,0,3,20,27,15,0,1,0
Sirpb1c,0.99,0,1,9.17,13.79,7.9,32.54,91.01,47.84
Rtp4,3,8,6,98,70,96,475,950,405
Kcnj8,9,17,20,272,219,227,6,4,12
Csf1r,43,59,84.69,1159,807.06,952.09,2121.89,10016.58,7980.66
Cybb,16,19,20,315,229,317,1267,2871,3110
Rbm38,1,2,13,100,56,95,125.42,181,141
Tagln,4,11,7,131,93,122,220,130,71
Pdgfb,2,2,1,24,25,30,117,236,555
Spry4,5,6,16,156,114,157,196,145,175
Ccng2,24,49,22,568,410,537,1295,517,1099
Stx11,1,1,1,19,17,12,166,180,394
Plau,1.63,7,13,120,95.14,132.03,396,2256,2483
Hoxd3os1,1,3,3,41.88,25.66,44.93,1.49,0.5,1
Sp100,17.36,29.17,1.97,291.52,211.57,277.38,304.33,1170.06,374.42
Slc2a4,158,249,156,3333,2459,3292,75,23,84
Tm6sf1,6.25,12.98,2.21,123.56,105.81,121.19,139.24,546.81,557.8
Atp8a1,7,14,15,205,177,208,73,208,229
Acss2,181,329.44,157,4181.55,2980.98,3798.44,142,146.85,123
Siglece,0,1,1,8,7,18,54,71,46
Fgf1,18.02,17.89,21,347,260,333,20,7,7
Cysltr1,0,4.07,1,41,17,26,51,129,126
Spi1,12,7,13,191,139,207,653,2597,2248
Cytip,2.01,2.01,2,43.08,25.02,33.01,58,46,37.02
Clec2d,0,3,0,23,10,17.67,114,336,258
Gbp5,3.04,2.05,2.47,58.18,39.62,30.24,295.65,354.38,1221.16
Kcnk13,1,1,1,18,18,15,20,125,114
Kif1a,0,1,0,6,3,8,29,32,42
Mknk2,80,89,118,1915,1315,1664,1728,2087,1424
Parp10,22.49,18.25,21,415,290,359,489,1178.48,418
Ncf4,5,4,4,87,56,82,411,1277,575
Ywhag,214.16,335.32,260,5303.83,3805.4,4978.83,3017,4033.05,4018.96
Cebpb,17,35.73,60,767.76,629.03,596.36,4963.96,3445.55,5611.2
Agpat2,644,1079,930,17662,12361,17148,357,460,343
Cyp4f18,0,2,1,16,15,23,20,39,40
Aldh1l1,129,175,86,2787,1930,2377,102,84,80
Sema4a,11,24.12,18.35,361,285.2,330,242,435,296
Slc16a10,32,30,24,610,430,532,343,1213,1214
Ccrl2,2,7,11,131,96,139,329,651,2355
Lyz2,376.67,253.77,336.33,6660.5,4751.05,6314.93,6746.49,40545.88,25673.64
Cyth4,14,5,18,257,215,210,405,1901,1390
Cadps2,2,6,5,96,57.01,87,0,5,4
Cd300ld,9.08,6.02,3,135.9,81.93,116.82,29.81,102.97,105.74
Tagap,2.17,1.73,5.01,75.99,40.64,48.2,52.56,78.18,69.01
Gatm,4,7,6,113,82,123,151,977,551
Sash3,4,2,1,34,30,67,79,446,262
Cyp4v3,35,54,33,919.98,623,749,248,759,667
Dusp6,31,39,62,966,690,832,429,1056,755
Btk,0,1,3,30,23,23,95,489,440
Ly86,1,2,1,35,22,19,43,162,97
Tmigd1,1,2,0,24,18,15,0,1,0
C1qa,32,38,57,910,639,865,945,6336,3240
Dusp5,8,5,10,195,120,125,779,184,356
Zc3h12d,1.01,0,0,8,4.01,8,33,65,92
Clec12a,3,5,7,110.17,68,120,125,250,355.05
Mgll,582.96,1025,1226,21275,15224,19904,199,294,203
Clec4a1,3,6,2,90,59,70,345,1381,763
Parp14,8.22,2.55,10,163,101,150.01,884,2888,2031
Gpr132,0,0,1,11,4,5,51,92,120
Ebf3,1,2,1,31,18,31,67,64,71
Cd93,19.42,24.2,10.42,397.07,296.74,387.96,306.2,1903.9,2036.09
Asns,49,93,74,1644,1230,1502,2477,1238,2542
Plaur,5,5,3,95,77,92,517,655,1001
AW112010,24,22,20,526,373,445,689,238,402
Itih5,121.76,218.07,313.42,5215,3798,4427,127,92,156
Ctla2b,1,1.05,2,32.75,20.6,31.47,40.95,382.67,206.65
Bcl3,5,3,3,81,67,83,790,341,940
Cma1,1,2,0,23,17,23,88,90,159
Gm13703,0,1,1,23,8,11,1,0,0
Ppargc1b,2,9,6,134,102,122,29,54,132
Hbb-bt,14.67,10.21,18.62,330.26,246.79,339.41,366.9,62.18,145.59
Nfil3,17,16,22,412,340,413,516,224,363
Lcp1,22.93,27.77,19,607.96,435.37,435.2,2974.58,7621.56,9588.45
Ucp2,68.31,82,110,2028,1546,1975,1207,3966,3074
Hdc,1,2.02,1,33,27,26,126,95,133
Cd48,1,4,2,52,50,49,89,259,547
Adap1,2,6,4,101,64,94,134,605,390
Dock2,3,1,8,103,71,87,177,1171,1166
Ltb,0,1,0,7,8,7,38,22,38
Abcg1,7,13,11,264,174,246,336,1856,839
Gmfg,4,0,2,55.51,36,42,111,329,171.37
Skap2,17,25,6,394.07,323,352,979.13,1412.01,1490.05
Cfh,21,18,19,542.72,324.83,442.81,562.67,903.85,1270.16
Fasn,2408,3897,2037,74882,53248,61387,1304,1668,1714
Hgf,1,3,1,44.92,38,31,7,31,45
Hlx,6,12,3,170,103,212,582,547,345
Foxs1,1,1,1,32,19,19,34,17,36
Phf11d,4.92,2,4.64,114.42,68.56,86.89,446.77,777.53,291.97
Fzd4,68,75,76,2014,1397,1801,57,17,81
Cth,3,8,2,115,86,114,405,113,653
Gm8995,2,5,5,128.01,64.63,100.19,429.25,844.31,962.27
Gbp7,11,22.17,25.77,522.41,406.51,517.65,429.39,364.83,438.75
Clec4a3,3,4,3,87,81,79,133,329,264
Grap,12.05,5,8,232,170.59,218.03,48,292,161
RP23-281H4.12,2.03,3.13,2,61.59,50.81,65.94,2,2.92,0
Dennd1c,1,0,1,18,18,14,71,221,127
Gm43270,1,1,0,21,14,15,1,0,0
3110043O21Rik,21,57,30,1017,819,890,439,604,841
Igtp,5,19.64,14.2,378.67,249.58,352.72,376.62,847.29,289.4
Fermt3,2,4,6,97,93,115,454,1887.92,1623.93
Cd86,2,3,2,73,45,60,89,249,204
Bcar3,32,52.14,36,1193,842.13,1021.43,195.33,663.92,616.33
Adap2,5,3,5,132.79,90,108.71,121.66,610.24,392.32
Heg1,31.96,42.97,19.03,956,659.02,800,1104,330,430
Afap1l1,7,7,20,346,208,321,152.1,254.61,208.79
Apobr,2.9,4,3,99,74,82,271.04,709.89,683.74
Lfng,3,3,3,86,57,89,182,445,553
Sntb1,8,25,12,464,304,402,2,5,8
Art3,77,108.99,49,2297.03,1734,2079.01,46,73.01,18.02
Abi3,4.45,4.11,1,84.5,73,92.37,84.84,226.08,182.08
Lcp2,3.02,3.01,1,53,56.03,75,285,895,1438
B3gnt3,1,0,3,44,27,34,180,159,123
Tubb4a,0,0,2,21,15,17,33,77,54
Tmc7,0,1,1,22,17,14,14,10,15
Col4a1,157,188,251,6370,4555,5205,3082,1421,4141
Col18a1,22.02,16.83,39,828,613.94,670.01,630.14,1516,1568
Mbp,3,13.09,16.01,312.26,215.66,344.11,409.61,553.94,481.37
Nfkbid,3,3,0,67,47,49,52,105,244
Gpt2,93.33,112.97,81,2996,2187,2628,1704,1155,2105
Lilra6,2.06,0,0.81,38.46,17.59,22.27,72.76,293.28,261.42
Acss3,11,12,2,267,193,224,6.98,0,3.02
Tbxas1,4.31,4.77,4.27,147.13,106.68,114.64,132.64,420.66,360.07
Tspan15,14.59,26.84,28.71,745.54,499.27,696.15,25.08,7.24,7.24
Adamts1,36,49,89,1841,1282,1702,1988,1255,2189
Ttyh2,29,54,33,1221,885,1117,728,1314,1010
Cd83,4,7,10,216,149,219,124,383,692
Oasl2,2,3.34,3,95.01,67,71,836,2199,732
Gm15551,4,6,2,141,102,94,2,0,1
Lctl,23.68,22.48,23.35,787.33,527.94,651.29,11.7,3.37,16.44
Tinagl1,18,33,34,904,709,798,1758,243,339
Mmp12,9.23,14.99,1.04,277.3,184.03,265.15,376.24,276.93,1575.96
Tnfrsf1b,4.02,3.06,8,180,135,122,1144,3583,5879
Lamb1,23,39,44,1220,846,1007,485,263,640
Hoxd8,2,2,0,38,33,45,14,5,38
Hhex,1,3,3,74.12,55,74,73,134,94
Ccl9,24.43,27.4,7.65,666.79,483.17,600.69,572.44,2483.89,3519.82
Itgb2,10,11,10,339,246,329,736,2753,2869
S1pr3,2,4,4,104,68,125,213,159,216
Casz1,2.91,2.04,1,66,55,56,42.22,34.17,37.13
Csf2rb,0,8.45,12.8,252.88,155.59,225.81,618.9,2267.27,1554.54
Myo1f,2,1,7,108,69,122,693,4242,2593
Dusp9,0,0,2,22,16,22,62,110,168
1-Mar,1,1,1,28,34,28,78,119,119
Rassf3,8,6,6,241,172,188,531,606,457
Oxtr,21.4,26.64,34,948,648,870,3,1,4
Trim30d,1,1,1,34.58,26.24,29.36,157.84,351.43,290.27
Angpt2,1,6.28,6,167.94,106.93,125.01,57,126,117
Arhgap27,7,1.34,3,134.41,86,121.53,77.61,205.19,210.94
Il21r,0,1.06,0,13,8,11,98,403,140
Cfp,8,18,12,462,310,394,420,1203,1041
Col15a1,18,12,31,743,544,585,713,1139,857
Aqp7,86.64,105.9,15.11,2404.06,1842.87,2182.9,14.8,9.49,9.92
Ifi203,2,5.29,2,119.96,79.15,90.41,646.87,921.52,936.35
Abcc3,4,5,3,151,109,118,224,1392,1180
Gm15448,0,0.99,0,13.84,7.04,10.71,19.88,99.2,69.67
Tdrkh,2,5,6,164.53,118.29,135.67,44.27,111.7,100.62
Rbm47,16.88,33.88,12,747.18,592.64,712.49,150.12,630,624.92
Naalad2,1,2,1,40,33,58,47.74,16,37
Mreg,2,2,0,44,34,54,14,18,20
Arxes2,190.04,277.29,152.22,7876.35,5712.26,7056.98,78.18,64.54,129.38
Tlr7,1,0,2,33,40,27,193,1010,910
Rcan2,0,3.02,1,53,29,52.02,103,95,80
Gm15931,0,0,1.65,19.12,17.15,19.09,60.45,249.06,257.09
Pfkfb3,54.13,111.81,124.09,3687.23,2746.77,3352.59,2433,1468.01,4026.02
AI467606,2,0,3,65,58,46,190,254,181
Ccl11,5,5,4,180,132,162,0,0,3
Prelid2,1,0,1,31,22,16,161,118,139
Klhl2,7,16,8,413,262,410,259,243,275
Lyn,5,13.67,3.01,287.87,192.18,279.74,558.77,1406.51,1283.74
Cd38,9.11,12.3,4.08,347.35,259.57,286.58,225.26,176.66,244.74
H2-Q4,4.54,11.69,4.82,298.19,194.4,250.61,1272.79,1087.49,831.3
Arhgap18,13,14,13,531,386,518,127,382,425
1700001L05Rik,1,1,0,30,12,31,112,36,95
Ebi3,1,0,0,12,12.72,11.87,94.73,328.31,219.82
Chd7,6,8,5,262,202,237,683,537,539
Rgs4,7,7,3,226,199,204,51,122,80
Sema6b,2,2,5,113,91,133,271,213,238
Adgre1,6,10,3,275,195,246,1686,7696,4748
Cpa3,0,1,0,22,8,8,45,61,70
Fads3,29,60,67,2287,1710,2011,1555,699,1313
Tnfsf10,3.21,4.23,2.01,144.89,110.66,111.33,70.52,158,30.6
Mrc1,10,13,16,605,440,488,549,4764,5386
Samsn1,0,0,1,13,12,15,60,117,117
Kcnj2,0,1,0,11.05,14.01,15,82,69,131
Sort1,36,40,35,1798,1228.9,1466,1528,3092,1576.51
Nfkbiz,20,30.04,8,885,668.44,836,959,409,3178
Inafm2,22,20,5,729,549,674,608,379,448
Atg9b,0,0,1,19.29,15.21,7.12,154.68,30,119
Cyp27a1,8,4,3,236,175,214,83,165,102
Adm,1,7.17,5,209,164,179.01,751,155,631
Fcrls,7,2,3,189,151,171,103,1280,911
Klra2,0,1.02,0,22.91,7,14,20,25,17
