Gene_Name,D33_1,D33_2,D33_3,AD_1,AD_2,AD_3,rib1,rib2,rib3
Shroom3,67.42,87.99,85.23,19.02,16,28,44.36,19,25
Emid1,56,97,72,18,11,10,35,28,20
Abcg4,33,42,38,8,10,11,24,10,8
Pamr1,235,233,508,125,79,98,164,93,107
Slc16a9,42.58,57.03,56.27,11,6,9.19,22,7.67,30.12
3110070M22Rik,10,29.96,32.93,6,4,9.5,9,12.79,6.58
Gm2000,4619.71,7242.75,5424.89,1310.96,853.59,1170.47,2583.3,2111.49,2075.15
Cideb,9.77,17.44,17.26,2.07,1.92,3.58,9.12,3.11,5.34
Rpl29,3714.24,5192.07,4606.91,1091.67,818.17,1062.43,1788.11,1449.4,2115.82
Hmgn3,390,562.74,358.83,154.94,113.98,116.95,271.78,99.87,154
Acsbg1,49,57,41,14,14,10,30,14,15
Tmod2,53.66,102.03,87,17,13,27,30,12,56
Platr17,44.85,61.7,19.36,5.4,9.29,9.55,26.06,16.04,9.04
Wisp2,101,184,285,51,43,71,131,55,48
Erg,330,385.03,345,79,43,76,197,125,116
P4htm,67,125,97,19,14,27,62,21,37
Casq1,9,21,30,3,3,8,9,8,8
Gm10516,64.27,68.21,47.01,16.67,12.45,19.96,19.32,22.81,34.74
Slc13a1,32.71,31.13,7.54,3.57,3.65,6.53,10.65,8.07,11.88
Calml4,126,71,72,15,13,23,32,43,41
Pfdn5,1920.72,2675.65,3117.6,877.07,637.67,794.81,1352.07,1124.57,892.14
Fam195b,1515,2324,3195,842,551,758,1154,1019,983
Chpf,1642,2233,2864,560,412,504,1001,1157,909
Haghl,348.17,548.81,625.31,124.94,84.8,126.77,236.34,251.98,216.59
Tcea2,101,169,136,38,22,36,65,66,64
Gm15910,30.92,61.91,15.86,11.78,4.07,9.66,24.57,17.45,10.61
Tmsb15l,36.7,51.24,29.69,10.72,11.71,9.98,22.23,19.66,18.18
Chad,25669,41648,61153,0,0,0,7771,5535,8849
Mlc1,243,289,310,0,0,0,0,0,0
Lhx8,75,109,111,0,0,0,0,0,0
Gm5292,24.68,114.93,27.76,0,0,0,0,0,0
Gm37304,42,60,8,0,0,0,0,0,0
Zcchc16,26,22,18,0,0,0,0,0,0
Gucy2f,16,17,7,0,0,0,0,0,0
Avp,7.44,6.06,9,0,0,0,0,0,0
Mannr,6,10,4,0,0,0,0,0,0
Sphkap,7,8,4,0,0,0,0,0,0
Gpha2,178,333,888,0,0,0,1,2,0
Dsc3,355,446,397,0,0,0,2,0,3
Rps3a2,2657.4,11.07,2885.16,0,0,0,17.98,0,6.17
Lrp1b,59.1,76.15,56.38,0,0,0,0,1.01,0
Rpl15-ps2,574,454.61,49.75,0,0,0,2.03,1.99,3.48
Tmem213,76.55,94,66,0,0,0,2,0,0
Gm10036,1679.82,1380.25,1111.3,0,0,0,28.16,9.48,1.58
Gm8420,137.02,160.42,21.7,0,0,0,0,2.13,1.03
Bhmt,48.03,46,66,0,0,0,0,2,0
Lsamp,396,533.08,497,0,0,0,12,1,6
Ptx4,21,13,22,0,0,0,1,0,0
Tgm5,21,16,14,0,0,0,0,0,1
Crabp1,80,168,478,0,0,0,12,1,3
Gm2830,12.56,23.22,9.78,0,0,0,0,0,1.27
8430419K02Rik,25.53,24.55,20,0,0,0,1,0,1
Gria1,104,176,304,0,0,0,9,3,5
Kcnn2,129.82,206.5,174,0,0,0,10,3,2
Gm10748,6.03,17.52,7,0,0,0,0,1,0
Sostdc1,16,28,44,0,0,0,2,0,1
Otor,4,13,11,0,0,0,1,0,0
Pebp4,15,8,4,0,0,0,0,0,1
RP24-136L4.6,8.03,27.92,11,0,0,0,0,0,2
Otos,431,246,342,0,0,0,26,5,14
Otoa,173,116,72,0,0,0,8,3,5
Pdzrn4,391,658,452,0,0,0,34,8,25
Morc1,19,12,13,0,0,0,1,1,0
A730062M13Rik,6,13,3,0,0,0,0,1,0
Gm17455,71,110,186,0,0,0,8,0,9
Rps13-ps4,28.78,28.11,12.64,0,0,0,0,0,3.25
Nefh,14,24,23,0,0,0,0,2,1
Ntn5,3.21,13.6,20.31,0,0,0,1,0,1
Musk,44,55,76,0,0,0,4,3,3
Mab21l1,15,23.5,13.61,0,0,0,0,3,0
Gm22398,111.57,157.63,35.71,0,0,0,0,11.38,6.76
Gm14094,25.67,35.33,1.87,0,0,0,1,1,2
AI606473,23,22,31,0,0,0,0,4,1
Dmrtc1a,19,30,21,0,0,0,2,2,1
Fgf2os,11,15,10,0,0,0,0,2,1
C9,6,13,4,0,0,0,0,1,1
Bmp15,11,16,17,0,0,0,1,0,3
Edar,47,83,83,0,0,0,11,0,9
Gm11611,15,15,11,0,0,0,1,3,0
2610027K06Rik,12.94,32.64,19.77,0,0,0,6.5,0,0
Etnppl,12,15,23,0,0,0,1,3,1
Fga,20,19,10,0,0,0,3,2,0
Cnih3,6.98,9.04,10,0,0,0,1,0,2
Spink2,4,13,17,0,0,0,2,0,2
Scube2,209,286,494,0,0,0,50,13,63
Clec2l,17,38,45,0,0,0,4,5,4
6030407O03Rik,16,29,24,0,0,0,5,0,4
Gm14648,19.68,49.66,13.04,0,0,0,0,8.48,2.59
1700049E15Rik,13,14,10,0,0,0,1,0,4
Rps12-ps9,24.43,22.39,9.71,0,0,0,2.4,1.3,4.9
Tmem121,59,88,188,0,0,0,23,10,19
Dlx6os1,85,186,67,0,0,0,24,29,7
Mansc4,13,27,15,0,0,0,5,5,0
2700069I18Rik,15.82,29.41,21.01,0,0,0,6,3,4.96
Ucma,6301,7705,8764,0,0,0,2142,650,2158
Wnt16,19,19,25,0,0,0,5,2,7
4632433K11Rik,26.7,42.39,14.33,0,0,0,10.42,5.74,3.99
5033426O07Rik,45,56,50,0,0,0,29,2,6
Ggt1,25,44,33,0,0,0,11,7,9
Col7a1,191,249,228,0,0,0,69,48,61
Ttll10,37,55,23,0,0,0,15,3,14
RP23-56M2.7,9,16,7,0,0,0,6,2,1
Gm20442,11.36,13.3,6.67,0,0,0,4.66,0.86,3.58
Chst5,54,115,112,0,0,0,34,33,15
1700125H20Rik,9,8,12,0,0,0,5,2,2
Tnmd,946,352,316,0,0,0,360,75,110
F930015N05Rik,60.17,73.11,57.17,0,0,0,22.21,6.74,35.7
Zfp648,139,232,116,0,0,0,51,40,86
1700023F06Rik,14,18,17,0,0,0,11,1,6
Vwc2,24,39,21,0,0,0,9,6,17
Pof1b,34,30,9,0,0,0,15,2,11
Apba2,14,19.04,8,0,0,0,6,4.01,7.03
Gm38025,15.31,28.58,16.74,0,0,0,15.85,8.4,1.04
Gm14305,200.9,275.57,102.43,0,0,0,73.03,94.79,92.56
Rab17,65,101,95,0,0,0,63,30,33
Thbs4,4596,2547,3891,0,0,0,2646,531,2361
A230065H16Rik,131,287,352,0,0,0,150,182,62
Dsg2,276.01,415.58,263,0,0,0,226,67,216.81
Jph4,7,12,17,0,0,0,10,4,7
Tnni3,6,9,14,0,0,0,4,7,6
Rtn4r,17,31,32,0,0,0,18,12,23
Gal3st1,229,406,313,0,0,0,209,154,279
Pantr1,42,57,52,0,0,0,29,30,45
Gm10593,31.62,32.17,14.84,0,0,0,33.93,4.37,17.69
Gm9913,6.05,9.35,8.08,0,0,0,5.82,3.75,7.45
3110079O15Rik,7131,11807,8978,0,0,0,8705,7664,3977
Gm3892,31.62,32.17,14.84,0,0,0,33.93,7.93,17.69
Gsc,23,24,33,6,4,5,0,0,0
Aqp2,1908,2596,1558,0,1,0,0,0,0
Gm27000,84.61,130.06,40.96,0,0,0.24,0,0,0
Tcerg1l,44,109,108,0,0,1,0,0,0
Gm6311,20.01,214.01,939.46,0,0,4.75,0,0,0
Uts2r,129,185,224,2,1,2,0,0,0
Gm13641,7.52,11.51,1.82,0,0.29,0,0,0,0
Gm17305,26.45,50.05,34.23,1.68,0.78,0,0,0,0
Tmprss11a,187.18,179.78,56.67,4,2.03,6,0,0,0
Gm27903,109.96,143.63,14.6,0,6.99,1.93,0,0,0
RP23-4H17.3,244.19,249.47,58.86,12.28,0,6.24,0,0,0
Gm43720,11.09,12.72,7.57,0,0,1.16,0,0,0
Rpl17-ps8,37.1,124.37,40.23,0,0,8.03,0,0,0
Gm22639,14.5,27.5,4.42,0,0,1.89,0,0,0
2610001A08Rik,11,27,11,2,0,0,0,0,0
Gm37756,8.23,47.42,7.61,0.47,0,2.62,0,0,0
Gm5054,6.08,8.49,6.04,0,0,1.01,0,0,0
A230087F16Rik,24.28,85.22,128.38,4.65,2.92,5.06,0,0,0
Gm25442,22.2,52.44,2.86,3.18,1.08,0,0,0,0
Rps12l1,5434.22,5742.85,4136.74,356.22,221.89,356.75,0,0,0
Snord13,27,53,33,1,2,4,0,0,0
Snord118,12,19,18,1,1,2,0,0,0
Gm26237,40.38,41,3.52,6.07,0,1.11,0,0,0
Gm17228,13.3,18.69,3.6,1.19,0.14,1.99,0,0,0
Gm10390,13.49,18.1,12.25,1.06,1.01,2.05,0,0,0
Gm42995,8,10,2,0,1,1,0,0,0
Gm43055,13.91,23.16,17.49,5.69,0,0,0,0,0
Snhg9,19,24,13,1,3,2,0,0,0
Gm22875,29.56,36.56,4.25,1.43,0,7.01,0,0,0
Rimbp2,21.81,24.28,8,3.1,3.01,1,0,0,0
Gm17541,5.92,8.63,4.04,1.37,1.09,0,0,0,0
Gm43589,24.28,29.79,2.98,5.78,1,1.41,0,0,0
Gm11518,1122.73,1483,1501.35,219.28,152.84,268.92,0,0,0
Gm24365,26.32,9.76,6.75,3.25,0,3.64,0,0,0
Krt15,17,10,10,2,2,2,0,0,0
9030619P08Rik,78.02,84,41,13,8,13,0,0,0
Gm42991,22,35,8,4,5,3,0,0,0
Cd7,18,28,23,3,7,4,0,0,0
Gm43018,32,19,2,6,4,2,0,0,0
Gm454,9.45,22.58,9,4.03,1.33,3.96,0,0,0
Gm42443,12,13,6,4,3,1,0,0,0
Klrg1,13,31,10,5,4,5,0,0,0
Gm42845,39.84,46.8,45.89,16.34,6.15,12.48,0,0,0
RP23-296N5.4,6,13,7,1,5,1,0,0,0
