count1.Gene_Name,LC1,LC2,LC3,ERST2,ERST3,DCT1,DCT2
Serpina12,0.17,0.54,0.24,73.69,81.68,9.37,10.02
Gm28046,0,0,0,72.83,70.48,6.62,6.45
Hrnr,0,0,0,71.62,70.54,1.33,1.36
Gm10036,1.06,0,0.51,70.62,72.85,0,0.06
2010109I03Rik,2.09,1.59,1.39,69.25,65.62,6.05,5.68
Sdr42e1,1.16,1.44,1.22,68.89,62.01,12.14,11.74
Serpinb3b,0,0,0,68.33,72.08,0.09,0.23
Gm24265,0,10.55,11.87,67.14,82.71,6.16,5.01
Gm12248,0.33,0,0.38,66.8,76.72,0.26,0.32
Gsta2,0,0.27,0,66.04,64.46,4.85,3.28
Gm13177,0,0,0,64.3,62.03,0.25,0.24
AC107830.1,0,0,0,64.15,82.35,0,0
Skint10,0,0,0,64.11,68.2,10.42,11.14
Col7a1,2.57,2.96,4.02,63.33,54.03,8.66,10.59
Ugt1a1,0,0,0,62.84,73.41,11.21,9.92
Sdcbp2,0.75,0.61,0.47,61.32,54.69,6.72,7.9
Defb8,0,0,0,60.28,50.5,0,0
Abhd12b,0.26,0.05,0.11,59.7,63.82,2.11,2.14
Serpina3b,0.04,0,0.1,59.54,61.83,5.96,7.49
Skint9,0,0,0,58.88,61.15,10.34,8.35
Krt78,0,0,0.03,58.22,38.34,9.63,8.05
Lss,3.37,3.18,3.31,57.72,51.15,10.55,7.33
Eif2s3y,0.21,0.4,0,56.94,58.59,0,0.2
Il1f9,0.57,0.65,0.91,55.23,55.53,4.62,4.61
Cpz,0.12,0.07,0.14,55.13,48.54,6.12,6.42
Rdh13,11.59,10.77,9.74,55.08,53.98,11.39,10.12
Aadac,0,0,0.6,54.59,52.97,6.3,6.26
Rnase1,0.11,0,0.12,54.47,48.5,9.31,9.99
Wfdc5,0,0,0,53.77,52.93,11.1,9.8
Cyp2b10,0,0,0,51.08,47.5,6.45,6.59
9130204L05Rik,0,0,0,50.68,48.03,0.43,0.53
Rdh11,3.9,5.49,3.99,50.6,45.37,7.89,8.34
Adh7,1.4,2.29,1.29,50.44,55.48,8.71,9.54
Hcar2,6.78,6.88,7.71,48.38,47.01,6.81,6.92
Sptlc3,0.12,0.07,0.09,47.97,47.39,4.99,4.51
Gm10184,5.35,5.27,3.85,47.55,49.49,0.65,0
Stap2,1.52,2.26,2.93,47.06,50.88,7.15,6.47
C130079G13Rik,0,0,0,45.57,46.86,2.41,3.44
Cyp2b19,0,0,0.05,45.4,43.64,6.78,6.72
Srpx,4.24,6.06,6.2,44.53,40.84,6.34,6.35
Amd-ps3,2.19,1.97,6.27,44.39,40.39,3.68,0.39
Pnpla5,0,0,0,44.38,42.16,1.77,1.03
Mmp23,4.79,7.39,4.79,44.12,39.82,8.29,7.02
Hsd3b6,0,0,0,42.87,42.22,1.18,1.18
Rpl15-ps2,0,0.75,0,42.84,43.17,0,0
Lrp4,2.74,2.74,2.95,42.26,49.02,5.45,5.25
Skint5,0,0,0,41.41,36.76,1.5,1.44
Alox12b,0,0,0,41.31,37.41,3.43,3.48
Wfdc12,2.67,2.62,0.65,41.16,44.89,1.22,1.52
Parp10,4.19,2.78,4.33,39.81,35.2,5.82,6.61
Gm13124,0,0,0,39.37,45.95,0,0
Tpsab1,5.55,7.31,5.12,39.23,33.03,0.07,0.17
Lypd2,6.09,2.51,5.86,38.51,33.94,2.78,2.82
Fam81a,2.57,1.55,1.75,37.59,40.13,4.61,4.14
Cotl1,5.8,4.9,4.24,37.43,37.64,7.01,7.16
Fam46a,5.19,5,5.29,36.47,38.02,6.39,6.58
Acox2,1.14,0.49,1.1,35.87,32.8,1.64,1.52
Serpina3h,0.28,0.45,0.17,35.65,32.63,1.67,2.08
Aloxe3,0.38,0.52,0.46,35.49,34.07,4.23,3.06
Klk9,1.28,1.72,1.26,35.38,40.37,5.76,4.38
C1qtnf6,5.32,6.17,5.02,35.35,30.21,5.8,6.22
Gsta1,0.36,0,0,33.96,33.58,2.8,1.8
Ccdc3,5.73,6.13,4.58,33.66,30.22,1.8,3.11
Serpinb6c,0.3,0.13,0.25,33.61,35.33,0.23,0.36
Wnt7b,0,0,0.03,33.43,27.88,5.7,5.58
Ell3,0.1,0.2,0.06,33.39,33.91,4.56,4.57
Pdss1,5.05,3.95,3.7,33.12,35.14,2.6,2.96
Krt6b,0,0,0,32.65,28.21,0,0.07
Zfp652,5.96,5.41,5.9,32.57,35.8,3.26,3.32
Clstn3,2.08,2.89,2.21,32.18,32.62,2.14,2.55
Panx3,1.06,1.37,0.9,31.44,31.82,1.01,1.37
Rdh1,0.55,0.16,0.42,31.38,28.23,1.64,1.67
Ankrd35,2.39,2.84,1.96,30.69,29.91,5.43,5.21
Bcl11b,0.23,0.37,0.25,30.6,25.35,4.85,4.76
Tmem154,5.78,6.22,5.7,30.41,29.79,5.92,5.99
Ddx3y,0.03,0,0,30.35,32.19,0,0
Gm11992,0.49,0.59,0.47,29.79,30.09,2.98,2.93
Dgat2l6,0.06,0.1,0.07,29.58,32.62,0.23,0.11
Scd3,0.12,0.09,0.06,29.35,30.34,2.71,2.97
Il1f8,0,0,0,29.03,32,0.95,1.11
Hsd17b2,0,0,0,29,31.5,5.9,5.24
Flg,0,0,0,28.72,22.06,1.08,2.64
2310001H17Rik,1.46,2.76,1.57,28.45,27.76,5.18,5.46
Skint1,0,0,0,28.35,23.11,4.08,3.09
Chl1,0.22,0.23,0.17,28.03,27.12,2.97,3.63
Spi1,4.44,5.97,3.75,27.98,25.37,3.82,2.56
Gm436,0,0,0,27.77,25.12,0.25,0.39
BC100530,0,0,0,27.12,28.81,2.85,3.11
Il6ra,4.95,5.41,5.11,26.75,26.66,4.59,3.91
Tnnt2,2.24,2.92,3.39,25.79,29.47,3.67,4.73
Cd3g,0.5,0.36,0.11,25.74,28.38,4.01,3.51
Flg,0,0,0,25.43,21.37,2.37,0.41
Il33,2.25,2.02,2.18,23.86,24.8,3.82,3.63
Ms4a4a,1.53,3.06,2.5,23.11,21.39,2.51,2.13
Cyp1a1,0.88,0.3,0.51,23.11,19.28,0.4,0.64
Rps2-ps6,1.1,3.04,1.57,22.21,7.79,0.28,0
Sprr2d,0,0,0,21.79,27.32,0.26,0
Dlk2,0.21,0.77,0.21,21.5,17.9,1.3,1.1
Zfp367,4.22,3.28,3.88,21.38,23.84,4.67,4.29
Defb14,0,0,0,20.92,16.74,1.17,0
Ccl21b,0,0,0,20.86,12.34,0,1.69
Gm10591,0,0,0,20.86,12.34,0,1.69
Plcxd1,1.29,1.85,1.58,20.72,16.02,3.3,1.74
Fam57b,1.66,3.92,2.5,20.49,19.38,0.35,0.85
Napsa,1.51,0.78,1.31,20.08,17.74,1.58,2.23
Aox4,0,0,0,19.89,19.47,1.7,1.58
Gadl1,2.51,3.91,3.6,19.6,20.85,0.58,0.36
Sox15,0,0,0,19.01,17.33,1.06,0.97
Tjp3,0,0,0.03,18.53,14.87,1.54,1.54
Fndc9,0,0,0,18.39,15.23,3.35,3.36
Slpi,1.32,2.15,1.9,18.37,17.1,1.67,3.18
Serpinb10,0,0,0,18.2,22.49,0.67,0
Sectm1a,2.6,3.82,2.13,17.95,18.49,2.54,1.98
Gm14039,7.64,0,0,17.69,18.21,0,0
Cd207,0.19,0,0.07,17.56,14.52,2.49,1.9
Dpep2,1.94,3.38,2.16,17.56,16.45,2.24,2.01
H2-DMb2,1.45,2.02,1.44,17.4,18.38,3.19,3.31
Cyp2b23,0,0,0.05,17.31,18.45,0,0
Trdv4,0,0.66,1.11,17.25,16.76,1.25,1.54
Gm11940,0,0.75,0,16.99,11.85,1.7,1.04
Il1f6,0,0,0,16.99,18.5,1.03,0.7
Adora2b,0.25,0.53,0.4,16.95,16.34,2.52,2.57
Gm43235,0,0,0,16.9,18.19,1.04,0.63
Clca2,0,0.04,0.04,16.51,15.48,1.61,2.38
Gm8420,0,0,0,16.45,17.48,0,0
Sgpp2,0.62,0.23,0.33,16.31,15.55,0.14,0.07
Camkk1,1.79,2.31,2.45,16.08,13.58,2.47,2.31
Clec4n,1.59,1.61,2.24,15.95,17.27,1.38,1.73
Gramd1c,2.78,2.29,2.53,15.88,15.46,2.57,2.38
Gm9696,0,0,0,15.37,15.54,0.4,0.15
Gm27517,0,0,0,15.13,17.18,1.48,3.21
Aadacl2,0,0,0,15.06,13.12,0.56,0.29
Gm11433,0,0,0,15,18.98,0,0
Tcrg-V5,0,0,0,14.71,15.16,0,0.65
Slc16a14,0.25,0.24,0.16,14.59,14.5,1.19,1.82
Cyp2j12,0,0,0,14.51,16.47,0.53,0.36
Gsdmc,0,0,0,14.47,14.25,0.24,0.07
Awat2,0.12,0,0,14.44,13.67,2.23,2.57
Wdr62,1.95,4.45,1.71,14.37,13.73,2.88,2.23
Gm4017,0,0,0,14.07,11.51,0,0
Pctp,2.46,2.69,1.79,14,14.48,1.12,1.39
Gsta3,1.79,0.85,0.9,13.81,17.16,1.72,1.83
Lilrb4a,2.09,2.53,2.77,13.8,12.85,1.28,1.49
Mst1,0.29,0.07,0.16,13.45,10.84,0.52,0.56
Mmp27,0.14,0.2,0.5,13.39,13.61,1.19,0.85
Ascl2,2.27,2.59,1.14,13.36,11.64,1.61,1.33
Slc5a9,0,0,0.2,13.3,13.84,1.22,0.84
Ngfr,0.68,1.02,1.1,13.26,10.07,1.93,2.11
Cyp3a57,0.05,0,0,13.18,13.6,0.36,0.41
Slc2a5,0.4,0.1,0.03,13.17,9.84,0.43,0.58
Uty,2.19,1.02,1.85,13.09,14.74,0.82,0.92
Lce3f,0,0,0,12.91,8.31,0.2,0.24
Fam105a,1.72,1.32,1.51,12.9,12.77,1.58,1.77
Psca,0.37,0.68,0.71,12.83,13.08,2.32,2.05
2010016I18Rik,1.34,0.72,0.62,12.75,12.38,0.79,0.86
Gm22229,0,0,0,12.73,6.81,0,0
Gm27501,0,0,0,12.66,7.4,0,0
Tcrg-C1,0,0,0,12.61,15.4,1.58,1.64
Scgb1b27,0,0,0,12.51,10.33,0,0
Ppfia4,1.64,1.1,1.71,12.49,9.47,1.36,1.1
C77080,1.4,2.02,1.53,12.4,11.51,2.4,2.07
Snora17,0,0,0,12.34,3.56,0,0
Prkcb,0.56,1.07,0.92,12.31,10.22,2.14,1.79
Lce3e,0,0,0,12.21,11.9,0,0
Flg,0,0,0,12.21,9.9,0,0
Slc6a4,0.95,0.91,0.86,12.05,12.45,0.85,0.63
Kctd4,2.08,1.74,1.55,11.98,13.34,1.82,1.86
Cd48,2.07,2.05,1.34,11.96,11.81,2.28,2.29
Gm22690,0,0,0,11.87,11.04,0,0
Mrgprb3,0,0,0,11.81,9.45,1.66,2.58
Flg,0,0,0,11.62,6.87,0,0
Gm6537,0,0,0,11.55,11.18,1.91,1.33
Gm438,0.07,0.12,0,11.44,10.71,0.31,0
Rgn,0,0,0,11.4,12.27,0.14,0.17
AC132239.1,0,0,0,11.36,13.73,0,0.72
Spag1,0.71,0.58,0.66,11.26,11.17,1.95,2.52
Creb3l3,0,0,0.05,11.23,11.12,0.43,0.66
Card14,0.19,0.26,0.23,11.03,9.36,1.26,1.53
Rps15a-ps7,0.5,3.86,0,11.02,7.04,0,0
Pirb,1.85,1.59,2.14,10.97,11.61,2.03,1.81
Mesp2,0.09,0,0,10.86,10.27,1,0.93
Ltb4r1,0.69,0.73,0.47,10.76,8.05,1.19,1.22
BC117090,0,0,0,10.73,7.66,0,0.39
Gal3st4,2.08,1.7,2.26,10.72,10.03,1.64,1.64
Flg,0,0,0,10.71,14.43,0,0.38
Acot5,0,0,0,10.65,9.41,0.05,0.21
Cyp11a1,0.16,0.23,0.2,10.5,11.4,0.74,1.05
Mpo,0,0,0,10.45,8.62,0,0
Gm43519,0.74,0.26,0.28,10.36,12.05,1.97,1.31
Sprr2i,0,0,0,10.2,10.47,0.45,0.19
Gm28588,0,0,0,10.1,10.03,0,0
Mettl7b,0.64,1.14,0.73,10.06,9.41,1.13,0.86
Gm7862,0,0,0,10.06,9.02,0,0
Dok3,1.16,1.3,1.12,9.96,7.56,0.62,1.39
Tnfrsf26,1.27,1.14,1.33,9.96,11.02,0.58,0.62
Syt13,0.21,0.2,0.19,9.83,8.76,0.07,0.05
Mir8116,0,0,0,9.83,10.06,0,0
9030619P08Rik,1.7,1.59,1.57,9.8,8.21,0.87,1.19
Gm9855,2.32,1.8,2.27,9.61,12.21,0.09,0
Lrmp,1.37,1.81,1.6,9.24,6.87,1.47,1.67
Gm9989,0,0,0,9.22,8.36,1.45,0.08
H60c,0,0,0,9.17,6.92,1.09,0.91
Gm13219,0,0,0,9.14,7.85,1.18,1.25
Skint6,0,0,0,9.08,8.45,1.15,1.13
Oas1c,1.3,1.11,1.09,9.01,9.04,0.62,0.74
Plxdc1,1.02,0.97,1.03,8.92,7.64,1.77,1.53
Sh3gl2,0.19,0,0.22,8.66,8.83,1.03,1.07
Card9,0.44,0.91,0.65,8.6,7.75,0.04,0.23
Serpinb3a,0,0,0,8.5,9.06,0,0
Slc5a1,0.04,0,0,8.47,8.52,1,0.84
Cysltr1,0.48,0.06,0.33,8.41,8.07,0.84,0.6
Scgb2b24,0,0,0,8.41,7.99,0,0
Gm15987,1.01,0.85,1.07,8.35,7.21,1.47,1.16
Lipn,0,0,0,8.33,8.86,1.18,1.56
6430548M08Rik,1.5,1.53,1.6,8.21,7.51,1.23,1.03
Gm26070,0,0,4.26,8.17,19.13,0,0
Slitrk6,0.29,0.14,0.16,8.14,7.55,0.87,0.91
Tlx1,0,0,0,8.02,7.75,0,0.26
2610528A11Rik,0.16,0,0.18,7.86,7.55,0.25,0.63
Rgs18,0.4,0.47,0.57,7.84,7.76,1.41,1.42
RP24-549B12.3,0,0,0.39,7.84,11.74,0,0
Slc2a12,1.66,0.95,1.48,7.83,6.94,1.31,1.53
Fabp6,0,0,0,7.78,8.13,0.88,0.55
Rpl31-ps15,0,0.98,0,7.71,3.27,0,0
Fam3b,0,0,0,7.61,8.34,1.17,0.49
Cfap57,0.02,0.04,0.16,7.57,7.86,1.19,1.16
Gpr34,1.16,1.37,1.45,7.51,8.88,1.34,1.44
Rdh16,0.24,0.16,0.31,7.5,7.35,0.32,0.39
Gm27385,0,0,0,7.38,7.78,0,0
Trat1,0,1.26,0.19,7.25,7.63,0.65,1.3
Pilra,0.48,0.59,0.73,7.15,5.06,0.36,1.49
Otx1,0.51,0.22,0.44,7.12,6.44,0,0
Ms4a2,0.11,0.13,0.13,7.07,7.07,0.12,0.18
Ucn2,0.6,0,0.29,7.03,5.34,0.34,0.34
Cd247,1.3,1.36,1.42,6.99,7.99,1,0.57
Adam8,0.48,0.5,0.77,6.95,6.56,0.81,0.9
Edn3,1.07,0.97,0.62,6.95,7,0.36,0.86
Capn9,0.08,0,0,6.91,8.58,0.97,1.93
Limk1,1.07,0.81,0.72,6.88,6.38,1.09,0.56
Gm27000,1.27,0.78,0,6.84,6.06,0,0.28
Gm5547,0.6,0,0.32,6.83,6.24,0.91,1.15
Rgs1,0.88,1.33,1.2,6.8,6.56,0.37,0.43
Snora43,0,0,0,6.72,4.01,0,0
Otop3,0,0.07,0,6.7,5.69,1.08,0.98
Dppa5a,0,0.37,0.44,6.59,7.92,1.02,0.84
Gm5127,0.2,0.12,0.12,6.46,6.55,0.08,0.35
Il20ra,0,0,0,6.39,6.11,0.51,0.3
Bcl2l15,0.51,0.71,0,6.36,5.91,0.84,0.67
Cyp2j8,0.19,0.22,0,6.31,6.18,0.05,0.19
Gm22333,2.83,0,0,6.24,22.82,0,0
Rasgrp1,0,0.12,0.18,6.2,6.38,1.13,1.02
Skint4,0.03,0,0.03,6.18,5.57,1.11,1.09
Serpina3i,0,0,0,6.18,7.91,0.89,1.47
Gm14548,0.39,0.41,0.52,6.06,5.15,0.11,0.06
Ear6,0,0,0,6,11.77,1.34,0.92
Myo1g,0.56,1.14,0.96,6,4.58,0.92,0.78
Lat,0.4,0.87,0.8,5.97,6.75,1.27,0.8
Mroh6,0.08,0.14,0.05,5.89,4.37,0.51,0.77
P2rx2,0,0,0,5.76,4.93,0.33,0.29
Gm37343,0,0,0,5.73,12.2,0,0
Rtn4r,1.04,0.92,0.6,5.7,4.61,1.04,0.98
Gm42711,0,0,0,5.62,4.65,0.56,0.39
Gm38119,0,0,0,5.53,6.95,0.23,0
Arhgap15,0.35,0.17,0.3,5.51,4.68,0.95,0.68
Dlg2,0,0.08,0.05,5.46,6.39,0.32,0.4
Tnfrsf11a,0.59,1.6,0.8,5.45,5.32,0.32,0.22
Ces2f,0,0,0,5.37,4.74,0.04,0.05
Cd33,0.41,0.52,0.43,5.36,5.08,0.27,0.39
Pdzk1,0.02,0.16,0,5.25,5.4,0.26,0.23
9330162012Rik,0.57,0.71,0.44,5.24,5.68,0.88,0.55
Gm11581,0.29,0.8,1.83,5.18,5.1,0.45,0.28
Tmigd1,0.42,1,0.77,5.1,5.25,0.66,1.31
Smim18,0,0,0,5.1,5.35,0.16,0.2
Slc28a3,0.19,0.12,0.06,5.05,5.21,0.81,0.59
Camp,0,0,0,4.98,5.57,0.34,0.43
Gm27680,0,0,0,4.95,6.18,2.17,0
Ptpro,0.76,1.05,0.85,4.94,5.92,0.89,0.63
Nrip3,0.6,0.19,0.51,4.93,5.58,0.47,0.49
Gm26004,0,0,0,4.86,5.35,0,0
Skint8,0.67,0.43,0.59,4.61,6.19,0.85,0.6
Hsd17b13,0.5,0.57,0.31,4.5,5.87,0.09,0.14
Mrgprb1,0.28,0.04,0.67,4.44,7.8,0.33,0.27
Gm21961,1.4,0,0,3.18,10.43,0,0
