count1.Gene_Name,LC1,LC2,LC3,ERST2,ERST3,DCT1,DCT2
Rps2-ps10,597.22,673.68,595.73,75.47,77.67,7.47,11.57
Btg2,587.31,603.5,580.5,47.14,45.64,45.03,44.99
Csrp3,550.95,640.94,558.06,11.21,12.14,29.23,29.58
Eln,535.77,542.56,523.8,24.11,25.5,14.44,13.78
Gm25735,526.27,352.76,435.22,49.55,57.35,21.3,31.69
Neb,498.35,545.22,485.35,23.5,23.95,86.04,87.03
Col8a1,487.38,512.98,493.75,12.05,11.23,0.65,0.65
Hspb6,468.51,482.59,462.58,23.11,21.54,54.02,50.18
Ccdc80,467.58,519.48,456.82,90,93.72,45.84,44.55
Fxyd6,441.78,461.87,427.11,34.19,37.85,16.83,16.81
Ppp1r1b,439.16,485.43,431.97,0.44,0.24,0.13,0.16
Mfge8,428.08,500.24,406.11,84.93,80.02,70.63,73.13
Smoc2,418.54,468.68,392.29,48.21,44.41,17.19,18.14
Chek2,409.47,258.42,407.26,47.41,48.03,58.36,49.7
Angptl7,406.54,454.39,385.97,35.87,31.5,1.89,1.71
Myh1,374.57,417.9,368.67,11.36,11.07,20.78,20.63
Rbp4,370.21,414.62,376.63,33.9,35.42,35.13,33
Pcolce2,366.8,355.28,357.18,18.06,21.42,5.08,5.19
Rpl3-ps1,364.41,446.24,358.56,0.19,0.5,0.47,0
Gm26318,363.88,383.75,408.86,43.37,0,28.97,0
S100b,363.33,352.94,360.37,7.97,8.16,4.07,4.61
Gm27826,356.71,282.86,370.05,38.31,53.07,23.51,26.78
Aqp1,353.34,397.2,337.21,48.73,41.17,24.55,27.1
Nr4a1,352.37,384.91,355.08,5.38,6.5,6.76,6.75
Fzd9,350.99,435.13,341.72,1.43,1.05,0.4,0.39
Cox7a1,346,360.84,337.26,34.77,28.35,63.33,59.22
Chil1,319.79,370.68,316.68,51.16,47.92,6.37,6.71
Klf2,312.37,385.03,295.82,12.47,11.68,7.07,6.03
Gm26825,309.36,335.55,310.76,0.28,0,0,0
Cebpd,307.25,432.77,293.49,61.94,42.18,18.04,20.32
Atf3,301.24,345.19,305.88,2.28,2.11,1.63,2.15
Gm10073,298.42,338.88,303.91,14.49,14.03,7.57,6.57
Gm27896,288.88,200.8,275.67,33.97,37.71,40.16,34.38
Omd,283.93,259.35,300.13,8.97,10.27,2.29,1.79
Des,279.46,326.35,268.28,11.84,11.01,35.94,32.54
Gm525,275.32,275.48,264.09,0.52,0.17,0.18,0.25
Abi3bp,274.72,261.49,284.36,13.17,14.04,6.03,6.02
Fabp3,271.65,332.18,271.72,13.47,11.83,39.47,37.71
Ckmt2,270.02,310.6,258.97,19.39,17.04,25.39,26.15
Gm22662,267.5,262.52,269.19,3.57,21.47,8.87,4.38
Serpina3n,263.5,299.41,255.98,30.07,26.83,7.19,7.59
Mybpc1,248.9,287.83,248.76,10.79,12.09,12.97,13.2
Cxcl1,246.87,226.36,262.36,1.44,1.12,0.62,0.88
Myl2,241.32,249.35,229.99,1.35,1.31,0,0.17
Gm27956,238.96,100.7,181.57,7.4,14.22,8.89,4
Gm23134,236.62,151.76,395.72,16.07,10.4,33.08,22.1
Mef2c,234.43,221.7,264.14,14.55,15.17,15.4,15.71
Gm22411,234.18,271.95,220.29,60.27,18.92,55.96,25.28
Lect1,233.73,257.66,224.6,0.9,1.13,0.99,0.42
Scara3,232.55,271.8,232.05,18.16,15.26,5.17,5.16
Prelp,229.55,248.31,225.92,21.21,20.74,8.62,7.91
Ramp2,227.9,262.38,218.54,36.96,39.29,11.56,16.86
Nnat,226.84,251.54,240.03,25.94,24.18,20.69,23.5
Col27a1,224.85,224.72,223.36,4.33,3.71,0.94,0.79
Lmcd1,222.31,270.98,206.46,10.91,8.84,8.11,8.6
Col9a3,216.72,221.35,196.16,1.36,1.3,1.22,1.38
Actn2,216.17,255.95,206.64,7.86,7.43,15.33,15.72
Adck3,215.58,217.76,198.9,23.51,25.16,18.48,17.94
Gm25640,210.57,147.78,146.84,19.38,17.72,20.87,25.68
Ucma,208.5,225.22,214.51,0.26,0.57,0,0
Pde4dip,204.78,158.49,199.3,17.76,16.73,28.29,32.03
Cdo1,203.3,206.3,204.66,9.98,10.02,22.23,21.83
C4b,199.55,210.62,197.25,21.66,22.75,27.19,28.94
Serpine2,195.88,253.36,195.88,18.42,21.51,10.86,12.06
Acan,186.44,215.06,180.65,0.13,0.1,0.2,0.14
Gm27316,180.64,132.46,164.45,11.52,17.46,21.22,10.39
Npr2,179.68,206.52,176.21,7.44,8.12,2.65,3.56
Irf1,179.03,194.71,166.54,8.94,8.08,5.59,4.93
Socs3,178.67,205.91,181.73,7.59,6.63,6.01,5.87
Sod3,176.24,204.06,174.8,22.26,17.79,8.25,7.41
Cdkn1c,169.14,200.19,171.42,33.44,28.44,9.59,10.29
Ankrd23,165.17,191.77,154.98,27.55,24.38,17.18,17.29
Trim47,164.11,200.72,153.57,34.07,27.21,7.28,6.77
Dkk3,162.96,183.43,162.36,12.7,12.52,6.81,6.64
Ptgis,160.73,177.5,154.99,1.31,1.27,0.34,0.68
Bhlhe40,154.55,163.86,152.16,15.66,15.95,13.27,13.03
Frzb,153.44,164.63,149,0.95,1.22,0.62,0.72
Pfkm,148.72,162.2,144.46,16.26,16.14,28.81,26.09
Fosb,148.7,143.43,155.01,1.05,0.84,1.41,1.15
Ogn,145.75,121.32,154.49,17.76,17.8,14.14,14.45
Gadd45b,140.18,151.41,138.16,26.31,21.53,18.6,17.2
Myh2,139.35,157.05,140.6,0.44,0.53,3.51,2.89
Ncmap,139.21,155.73,140.69,29.46,28.54,3.15,3.71
Msx1,134.99,147.23,135.47,13.86,12.91,26.68,24.68
Zbtb20,124.85,129.25,119.01,18.53,17.72,4.9,5.04
Aqp2,117.88,133.33,114.21,0.44,0.2,0,0
Hspb2,114.04,130.49,101.72,12.87,10.68,14.04,16.19
Wwp2,112.15,126.42,106.21,14.24,12.47,14.26,13.68
Tnni1,108.35,129.13,101.37,1.85,2.06,17.58,17.72
Gm15459,107.69,140.77,118.58,0.03,0,0,0.93
Bicc1,106.31,111.38,107.81,11.15,11.11,2.21,2.46
Thbs4,106.25,118.15,100.32,2.95,2.82,1.5,1.66
Scn1b,104.68,123.48,106.26,14.01,13.64,11.89,10.92
Gm22107,102.03,32.69,73.69,17.31,0,18.72,0
Dlx5,95.25,99.28,105.52,11.4,11.88,1.39,1.82
Colec12,94.58,103.5,94.75,17.25,16.21,3.47,3.88
Cxcl10,94.39,117.08,100.39,3.4,2.56,5,4
Mfi2,92.62,104.63,89.28,0.15,0.08,0.08,0.13
Pla2g5,92.5,91.45,99.32,10.22,11.1,0.26,0.83
Hbegf,91.4,88.41,88.41,6.87,7.44,9.94,11
Igf2,90.66,92.12,81.98,15.26,12.16,4.23,6
Klhl41,90.32,79.36,91.46,4.48,4.43,17.12,16.79
Cilp2,89.64,110.99,86.84,2.27,1.38,0.32,0.18
Art1,86.46,93.34,79.44,4.75,4.42,7.1,8.25
Cyp26a1,84.92,94.43,84.01,0.56,0.5,0.37,0.31
Myoz2,84.82,94.86,89.24,1.97,2.3,2.23,2.79
Smtnl1,83.94,93.4,89.2,1.79,2.06,8.24,6.56
Prrx1,83.84,89.66,93.1,16.05,16.42,6.37,7.47
Otos,83.25,86.69,74.55,1.02,1.18,0.13,0.16
Lbp,83.13,92.44,83.94,17.45,14.43,6.48,6.3
Fbxo2,82.17,89.9,78.71,4.57,4.89,0.65,0.74
Trim54,82.17,98.16,83.17,2.66,2.4,4.86,4.92
RP23-281H4.12,81.63,79.03,85.37,5.74,6.15,6.99,10.63
Atp1a2,81.19,87.33,79.42,8.08,8.44,11.77,11.56
Col8a2,81,81.52,77.59,2.87,2.35,0.98,0.91
Nexn,79.4,70.86,78.27,4.94,3.65,9.63,9.57
Gm8730,79.31,73.74,77.33,0.55,1.4,1.32,0
Gm24809,78.97,62.16,103.77,8.23,13.2,1.61,8.61
Gm25574,78.51,33.55,57.52,3.8,9.03,5.67,1.64
Gm9800,77.46,41.38,63.53,10.54,6.21,0.61,0.96
Corin,77.02,74.4,76.67,0.12,0.21,1.23,1.2
Gm10491,76.54,111.9,112.25,10.53,8.18,0,0
Tnnc1,76.34,94.67,87.67,1.3,1.19,0.67,1.26
Gm11942,75.65,101.12,94,0,0,1.43,0
Wnk4,75.27,77.9,66.24,6.27,7.47,9.74,11.65
Grb14,74.44,70.24,64.98,4.68,4.77,4.81,5.28
Gdf5,74.34,85.07,69.93,0.43,0.46,0,0
Pbxip1,74.33,88.96,76.05,11.86,11.21,14.02,12.22
Ankrd2,73.92,78.36,65.88,1.92,1.94,2.21,1.88
Trdn,72.06,61.05,79.9,2.52,3.22,11.81,11.2
Vasn,70.46,78.38,66.53,14.25,12.61,14.08,13.81
Tgfb3,70.16,76.01,65.79,9.39,8.55,1.59,1.44
Bin1,69.83,73.46,71.87,10.5,10.91,11.35,10.41
Myl3,69.69,87.36,80.96,1.49,0.79,0.55,0.66
Arc,69.52,86.85,70.93,0.59,0.58,0.66,0.86
Reck,68.64,65.67,67.14,10.41,9.07,2.95,2.96
Col2a1,68.52,77.09,66.3,0.22,0.21,0.08,0.05
Shisa4,67.3,75.27,66.95,7.78,8.66,13.55,14.34
Pcp4l1,66.86,69.97,70.35,10.62,11.26,3,2.71
Ano1,66.14,78.89,63.75,13.23,12.59,1.67,1.76
Iqsec1,66.1,64.29,69.86,10.51,10.82,8.46,8.76
Fam101a,65.58,72.86,64.42,2.98,2.38,6.29,6.61
Nrap,65.43,71.54,62.38,2.41,2.34,5.66,4.98
Susd5,65.14,64.62,63.92,0.23,0.13,0.09,0.11
Gm26141,65,57,96.69,8.72,0,0,0
Hspb7,61.94,70.69,62.66,5.64,5.79,5.53,4.36
Boc,61.81,64.27,60.06,6.43,5.52,2.26,2.29
Actc1,61.02,71.27,62.32,8.31,8.37,7.04,7.26
Spp1,60.37,68.11,60.55,8.12,7,4.21,4.05
Hrct1,59.35,62.43,56.49,9.72,10.78,2.52,2.26
Chadl,58.96,71.68,56.88,4.39,4.02,1.11,1.42
Jsrp1,58.91,71.07,67.39,3.76,2.39,12.3,12.25
Myh3,58.79,68.47,56.52,0.12,0.04,0.01,0.01
1190002N15Rik,58.33,55.48,58.58,5.47,5.9,6.35,6.8
Timp4,58.22,64.73,61.69,2.64,1.97,0.35,0.36
Col11a1,57.95,52.1,63.87,1.86,2.3,1.58,1.19
Crispld1,57.17,60.67,56.06,0.85,0.58,0.7,0.96
Rpl3l,56.7,65.38,58.07,4.77,4.79,11.66,10.33
Trpv4,55.71,62.55,51.44,6.46,4.53,3.69,3.06
Gm26237,55.21,21.4,84.8,0,1.11,5.58,6.59
Clec3a,54.3,67.96,52.61,0,0,0,0
Sox5,52.71,60.43,43.05,1.1,0.85,2.62,2.24
Bmp5,52.58,44.93,54.8,0.63,0.61,0,0.02
1520401A03Rik,51.58,58.99,51.6,1.87,1.19,0,0
Col9a1,51.5,55.97,53.37,0.43,0.45,0.02,0.06
Fibin,51.27,52.49,50.01,2.28,3.12,0.78,1.03
Synpo,51.03,55.67,50.02,4.42,4.31,4.43,4.99
Smim3,50.65,48.44,50.04,5.4,6.43,2.98,3.15
Zfp385c,48.69,51.99,50.52,0.35,0.36,0.45,0.4
Notum,48.61,65.09,48.61,2.71,2.45,3.72,3.82
Snta1,48.12,63.13,48.17,10.52,8.91,4.09,5.49
Cacna1s,47.79,64.37,53.06,2.92,3.25,11.37,10.61
Fgfrl1,47.62,52.16,42.99,3.94,3.72,4.7,4.04
Lmod2,47.46,46.54,46.43,0.61,0.65,4.56,3.53
Sgca,46.18,48.47,45.17,3.71,4.04,5.44,5.36
Ltbp3,45.52,59.82,45.57,5.81,4.39,9.02,8.31
Fbln7,45.49,50.68,44.12,1.14,1.21,1.8,1.78
Arid5a,44.81,48.41,47.19,6.47,7.34,6.46,7.25
Pxmp2,44.65,46.7,50.38,4.21,4.99,6.57,5.98
Col11a2,44.37,49.12,45.54,0.48,0.48,0.07,0.12
Gmpr,44.22,51.86,41.23,5.67,5.4,8.24,8.33
Rrad,43.55,46.64,42.27,2.53,2.03,0.56,1.36
Gm6969,43.2,63.12,59.6,1.1,0,0,0
A230065H16Rik,43.15,48.78,47.43,0.38,0.13,0.41,0.17
Tns2,42.89,49.76,40.54,7.62,7.09,3.06,3.09
Cspg4,41.48,46.8,40.35,4.47,4.22,5.16,4.73
Cacng1,41.35,49.68,46.01,4.39,4.55,7.12,6.77
Col10a1,40.64,34.55,38.28,0.03,0.02,0,0.03
Dok1,40.25,53.56,44.15,5.85,4.41,6.08,6.48
Sgcg,40.15,45.82,38.13,2.22,2.52,6.97,7.39
Loxl3,40.14,46.29,37.7,1.75,1.61,0.7,1.03
Myom2,40.06,37.78,30.11,1.83,1.34,6.66,6.28
Snora31,39.9,40.43,29.32,3.25,3.73,3.92,0
Slc2a4,39.83,47.96,37.62,4.97,4.77,6.77,4.74
Nfkbiz,39.05,39.32,38.99,3.16,2.75,1.7,1.81
Kcne1l,38.96,47.35,34.97,0.91,0.5,0.77,0.3
Loxl4,38,43.75,40.08,3.32,2.6,0.26,0.28
Tmem52,37.43,47.96,38.56,6.21,4.45,7.36,7.22
Klf15,36.85,34.26,31.61,3.98,3.41,4.63,3.88
Galnt15,36.64,37.23,34.42,2.59,2.21,1.2,1.17
Gpc6,36.56,42.05,37.43,2.93,2.79,1.88,2.15
Dixdc1,36.51,30,31.07,2.33,2.71,0.79,0.97
Gm9964,36.28,8.83,38.01,1.89,2.55,1.38,1.25
Fap,36.19,35.96,37.46,2.89,3.29,3.98,4.49
Pantr1,36.07,32.9,36.68,0.58,0.39,0,0
Osgin2,35.67,37.71,34.22,5.79,6.09,3.28,3.73
Enho,35.62,47.08,38.64,4.88,3.73,4.7,3.85
Arhgef25,34.93,36.71,35.93,5.77,6.1,4.18,3.87
Col9a2,34.7,37.27,32.24,0.23,0.27,0.05,0.18
Ptx3,34.63,41.95,33.16,1.68,1.92,0.59,0.67
Atcayos,34.54,25.75,34.39,5.14,4.56,5.74,4.51
Gm11273,34.51,48.43,37.46,0,0,3.05,3.13
Gm15716,34.3,14.29,35.33,0.13,0,4.4,1.44
Dhx58os,33.68,36.5,38.44,0.95,0.67,0.14,0.06
Atoh8,33.59,35.35,28.8,1.94,2.41,3.85,2.81
Scube1,33.58,38.03,31.3,0.23,0.2,0.2,0.3
Gm28592,33.53,50.29,27.19,3.15,0,6.72,3.02
Rftn2,32.76,36.03,34.55,5.46,4.52,1.16,1.06
Fam19a5,32.71,34.65,30.98,0.64,0.61,2.13,2.06
Glcci1,32.7,20.3,25.81,2.26,2.49,2.98,4.97
Hrc,32.67,35.44,33.17,2.44,2.57,6.37,5.87
Gm11716,32.66,26.56,27.04,1.04,2.15,7.73,2.81
Obscn,32.5,39.69,29.83,1.14,0.98,3.11,3.11
Sfrp5,32.29,37.73,35.8,4.02,3.43,1.71,1.82
2310002L09Rik,32.14,38.72,31.53,2.04,2.77,4.65,5.65
Tspan18,31.85,34.79,28.77,5.2,4.64,2.58,4.07
Uchl1,31.65,34.11,25.86,1.14,1.4,1.72,1.03
Galr2,31.53,40.12,29.08,0.95,0.94,1.15,1.4
C1qtnf7,31.36,38.59,34.52,3.94,3.49,3.26,2.68
Etv5,31.27,32.24,32.05,4.34,3.7,4.48,5.31
Ibsp,30.94,28.47,30.77,0.02,0,0.07,0.04
Fgf7,30.34,33.16,31.67,5.73,4.52,2.51,2.46
Klhl40,29.96,33.32,27.49,1.57,1.43,4.37,4.05
Akr1c14,29.89,29.41,32.86,0.71,0.65,4.93,4.67
Nfatc2,29.87,30.22,28.42,3.38,3.11,1.51,1.4
Abra,29.55,33.32,29.13,0.6,0.58,1.66,1.3
Aff3,29.27,30.8,29.43,3.66,3.85,2.65,3.03
Tmem213,29.21,26.54,27.72,0,0.41,0.15,0
Uts2r,28.8,33.97,25.1,0.36,0.24,0.04,0
Gm24362,28.72,25.2,24.47,2.82,3.36,1.29,4.55
Slc9a9,28.59,33.3,30.85,5.63,4.88,2.59,1.8
Rilpl1,28.21,35.05,30.1,3.94,4.35,3.13,2.98
Nnt,26.96,25.16,26.76,5.27,5.07,2.53,2.73
Rps11-ps1,26.86,36.62,32.69,5.42,3.65,2.32,2.19
Eps8,26.7,31.88,26.78,5.9,4.7,3.84,5.9
Apol6,26.67,30.26,24.55,3.49,3.36,2.97,3.79
Jam3,26.45,28.73,27.77,4.94,5.08,1.68,2.03
Irs2,26.3,34.53,26.25,2.38,2.07,2.82,2.34
Lmod3,25.76,26.36,27.5,0.99,1.39,5.08,5.46
Nctc1,25.53,26.03,24.27,1.26,1.33,2.35,2.52
Sik2,25.35,25.14,26.45,4.36,4.6,2.57,2.89
Ptgfr,25.07,27.9,21.68,4.48,4.16,1.16,1.34
Myom3,25.06,26.37,25.09,2.35,1.79,1.35,1.91
Airn,24.93,25.69,21.69,3.63,3.67,3.7,3.86
Myom1,24.63,26.93,25.32,1.42,1.47,4.41,4.48
4930562F07Rik,24.43,22.42,25.22,1.22,0.7,4.5,3.51
Stc2,24.04,26.72,24.25,2.61,2.7,0.78,0.68
Xylt1,23.97,22.45,24.11,0.88,0.7,0.45,0.59
Stk32b,23.95,23.93,20.95,0.23,0.19,0,0.03
Rapgef3,23.94,30.2,25.25,4.48,4.26,2.07,1.5
Nog,23.52,24.23,23.21,2.51,1.66,0.69,0.65
Myh10,23.51,24.95,25.53,2.67,2.99,3.27,3.96
Mrc2,23.32,25.05,22.65,4.62,4.12,1.95,1.29
Gm22715,23.12,47.41,34.24,12.98,0,0,0
Bdh2,22.62,24.41,21.3,3.32,3.38,2.97,2.17
Calml4,22.23,24.84,20.51,3.43,4.2,3.38,3.17
Phxr4,22.12,21.9,22.87,2.5,2.73,1.97,3.03
Xirp2,21.96,20.85,21.89,0.55,0.65,2.85,2.54
Usp13,21.9,25.47,20.25,1.34,1.44,2.17,3.8
Gm15725,21.89,30.06,19.05,3.55,0,0,0
Mlip,21.51,26.8,28.82,4.34,3.73,5.25,4.52
Gm15270,21.43,20.87,21.29,1.11,0.78,0.7,0.68
Hip1,21.29,19.65,24.76,3.37,3.2,2.4,2.4
Itih5l-ps,21.19,23.67,17.72,0.04,0.64,0.02,0.13
Ythdc2,21.15,11.74,19.01,3.82,2.9,3.36,1.83
Bex1,21.09,22.51,20.1,3.22,2.41,3.58,4.19
Mogat1,20.92,24.11,15.25,0.15,0.1,1.04,2.05
Cx3cl1,20.79,20.87,20.05,4,4.17,2.32,2.05
Mkx,20.76,32.24,21.24,1.19,1.49,0.62,0.68
Mab21l2,20.75,21.25,18.73,0.13,0.17,0.11,0.1
Ndp,20.57,23.44,21.99,0.95,0.94,0.22,0.28
Tceal5,20.41,18.61,20.14,0.65,0.61,2.03,1.08
Smarcd3,20.34,23.31,19.8,3.42,3.92,2.71,2.88
Gm43076,20.26,17.78,22.28,0.61,0.47,0.62,0.31
Gm17971,20.07,26.27,21.8,2.6,2.12,1.54,1.25
Pcdh9,19.78,19.72,17.5,0.83,1.09,0.37,0.26
Ankrd1,19.75,19.78,20.01,0.22,0.15,0.12,0.16
Trabd2b,19.37,20.62,20.14,2.32,2.23,1.94,2.05
Rilp,19.33,20.23,18.84,2.8,3.22,0.96,1.27
Mir143hg,19.14,15.3,16.33,2.65,3.08,0.85,0.55
Emx2,18.65,18.15,20.54,2.18,3.52,0.8,0.29
Nr4a2,18.43,16.87,20.09,1.9,2.11,0.53,0.6
Prr33,18.24,19.03,14.79,1.42,0.65,3.77,2.11
Gm17106,18.23,6.44,20.07,2.24,3.5,1.6,0.41
Cd28,18.19,18.73,19.37,0.43,0.56,0.13,0.12
Gm6644,18.17,18.23,12.73,0.17,0.04,0,0
Gm4737,18.13,18.79,16.01,0,0,0,0
Dlx6,18.11,19.99,19.71,0.13,0.26,0.24,0.12
Serpine1,17.81,18.99,20.27,0.52,0.85,0.06,0.13
Hapln1,17.79,13.18,18.22,0.15,0.05,0.01,0.03
Pitx2,17.72,18.14,17.38,0.42,0.45,1.08,1.06
Cpt1b,17.65,22.3,17.47,1.59,2.01,3.43,3.47
RP23-174K7.2,17.65,20.65,16.75,0.71,0.54,0.23,0.19
Rnd1,17.55,18.38,17.84,0.89,1.25,1.58,0.95
Sorbs2,17.34,17.81,19.52,3.26,2.68,1.72,1.71
Scx,17.17,24.08,17,0.69,1.16,1.85,2.5
Wfs1,17.16,19.64,17.81,2.87,2.4,2.55,2.77
Gstm7,17.12,15.42,12.78,1.47,0.98,2.91,2.51
Stard13,17.02,17.9,14.65,2.84,2.06,0.5,0.61
Art5,16.92,20.15,16.44,1.05,0.92,1.88,1.97
Kcnma1,16.76,19.49,17.77,0.35,0.18,0.31,0.16
Rgs11,16.62,20.83,23,4.17,3.46,0.49,0.36
Ryr1,16.46,17.6,15.27,0.59,0.57,2.45,2.62
Gm17334,16.43,22.61,16.41,0.39,0.34,0.09,0
Coro6,16.37,19.86,15.79,1.27,1.17,2.9,2.81
Vgll2,16.3,20.54,16.55,0.79,0.93,0.45,0.75
Slc4a3,16.17,19.83,16.14,1.59,1.02,0.83,0.99
Gm12088,16.06,5.39,13.64,0.32,0.68,0.7,0
Lcat,16.04,20.65,15.29,0.68,0.95,0.11,0.21
Pde4a,15.95,20.45,16.3,2.76,2.92,0.85,0.77
Pitpnm3,15.91,15.87,14.56,0.8,0.81,0.19,0.27
Bpifa2,15.89,17.54,16.86,0,0,0,0
Cmya5,15.88,15.93,15.14,0.72,0.65,1.85,2.08
Htra4,15.85,22.01,16.16,0.3,0.04,0.18,0.25
Rcan2,15.82,15.66,12.27,1.28,1.29,0.51,0.62
Synpo2l,15.77,17.34,15.67,0.36,0.47,1.43,1.2
Samd4,15.74,16.15,15.97,1.98,2.08,2.21,2.65
Hspb3,15.6,17.87,14.65,1.36,1.85,2.63,2.19
Adamtsl3,15.49,13.16,16.67,0.92,1,0.48,0.15
Zfhx4,15.39,16.42,19.3,0.91,0.85,0.51,0.57
Dpysl4,15.36,18.86,15.39,0.51,0.37,0.21,0.36
Adprhl1,15.31,19.69,14.61,0.84,1.09,1.11,1.45
Trim46,15.31,19.07,15.91,0.47,0.35,0.27,0.32
Rasl12,15.06,15.88,14.25,3.48,2.23,0.98,0.81
Mvb12b,15.03,12.57,13.47,2.62,2,1.4,1.72
Cyp2d22,15.03,16.66,14.64,1.66,1.33,1.24,0.7
P4htm,14.88,18.85,14.2,2.89,2.17,0.95,0.45
Fbxl2,14.79,15.62,14.85,1.92,1.99,0.46,0.63
Dync1i1,14.65,13.28,13.27,0.2,0.44,0.37,0.57
Cxcl9,14.62,11.44,15.02,0.56,0.72,0.87,1.45
Prdm16,14.53,19.55,15.55,2.64,2.84,1.68,0.67
Gm9625,14.48,20.43,9.09,0.55,0.6,0.12,0
Vit,14.46,16.6,14.23,2.21,2.05,1,0.52
Ncam1,14.38,27.39,10.73,3.14,3.72,2.15,2.39
Matn3,14.3,14.49,15.11,0.13,0.06,0,0
Mecom,14.04,12,11.66,1.11,0.62,0.5,0.41
Mtss1l,14.03,13.64,13.03,1.55,1.3,1.73,2.04
Txlnb,13.96,12.85,15.79,0.62,0.54,2.33,1.79
Chrne,13.84,18.45,12.94,0.8,1.09,0.48,0.41
Fam229b,13.78,15.38,16.17,2.16,3.65,1.81,2.88
Bhmt,13.73,15.24,12.31,0.06,0.18,0,0
Fgf2,13.65,15.41,14.09,1.04,0.91,0.68,0.89
Pkd1,13.28,14.38,12.36,2.57,2.05,0.72,0.68
Bmper,13.16,14.52,13.08,2.28,2.09,1.97,1.94
