Gene_name,Gene_description,Stromal vehicle replicate 1,Stromal vehicle replicate 2,Stromal vehicle replicate 3,Stromal estrogen replicate 1,Stromal estrogen replicate 2,Stromal estrogen replicate 3,Der_JY01M004_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,Der_JY01M005_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,Der_JY01M006_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,WT_JY01M001_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,WT_JY01M002_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,WT_JY01M003_(MoGene-2_0-st).Dermis.rma-gene-full-Signal
Zscan5b,zinc finger and SCAN domain containing 5B,0.053154373,-0.386296074,-0.408995388,0.059330779,-0.029685859,-0.068449512,5.62103,6.081263,6.043808,5.811817,6.28591,5.953996
Zscan4e,zinc finger and SCAN domain containing 4E,0.220990836,0.183905567,0.221805506,0.178899181,0.114080775,0.115795007,3.400804,3.813755,3.312656,3.411499,3.467863,3.649944
Zscan4c,zinc finger and SCAN domain containing 4C,0.689584626,0.843534866,0.813843244,0.608136002,3.711962108,0.29010977,5.447781,5.665715,5.652335,6.30859,6.228437,5.35711
Zscan4a,zinc finger and SCAN domain containing 4A,3.642729528,3.002574901,3.803616585,2.068784044,2.79268508,1.075177813,7.319563,7.222137,7.620996,7.061654,7.469368,7.503814
Zscan29,zinc finger SCAN domains 29,0.699086798,-0.013848594,-1.811216844,0.650998194,0.223357639,-0.146389475,8.901421,8.765152,8.863014,8.927224,8.702317,8.943281
Zscan22,zinc finger and SCAN domain containing 22,-0.21965514,-0.036468917,0.045269304,0.490683671,-0.306505084,0.077945011,8.946966,8.935493,9.056129,8.800044,8.962696,8.807013
Zscan21,zinc finger and SCAN domain containing 21,-2.110784314,-1.902737436,-1.370833239,-1.679815961,-1.557868235,-1.245802178,7.099887,7.163055,7.409001,6.711711,7.251537,7.151596
Zscan20,zinc finger and SCAN domains 20,-0.21719155,0.222295415,-1.121946957,-0.97054915,-1.524714309,-1.379632567,7.148629,7.146812,7.189384,7.12204,6.71706,7.16352
Zscan2,zinc finger and SCAN domain containing 2,-3.211487697,-3.742921474,-3.391674762,-3.92283962,-2.530633678,-4.561451098,6.908277,6.467254,6.769127,6.724488,6.139336,6.327745
Zscan18,zinc finger and SCAN domain containing 18,0.62097224,0.367345343,0.876271658,0.253576431,0.529655578,1.073626183,6.69371,6.305396,6.479401,6.759977,6.511442,6.442869
Zscan12,zinc finger and SCAN domain containing 12,-0.393106735,-0.640378495,-0.364675412,-0.431888891,-0.621529793,-0.539286555,6.255648,6.601614,6.465808,6.520772,6.392276,6.603577
Zscan10,zinc finger and SCAN domain containing 10,-1.085792648,-0.953872343,-0.633050876,-1.070501759,-0.827061323,-0.454189067,4.914052,4.90421,4.768317,4.827607,5.04274,4.888564
Zrsr2,"zinc finger (CCCH type), RNA binding motif and serine/arginine rich 2",1.343204347,-0.423713086,0.279608505,0.912392258,2.281707849,-0.65142816,8.437023,8.705775,8.611106,8.75063,8.902604,8.964425
Zrsr1,"zinc finger (CCCH type), RNA binding motif and serine/arginine rich 1",0.666083807,1.117232106,0.823407219,0.692203205,0.601783062,0.662940216,6.644567,5.938222,6.487364,6.590723,5.93354,6.307581
Zranb3,"zinc finger, RAN-binding domain containing 3",1.256216985,-1.080575354,0.675370167,-0.468207969,0.575444741,1.278613633,6.439529,6.224675,6.229603,6.149003,6.256039,6.211251
Zranb2,"zinc finger, RAN-binding domain containing 2",0.081466793,0.276458441,0.366131495,0.083689159,-0.046459383,0.315268619,9.593424,9.664995,9.595561,9.993706,10.15585,10.00661
Zranb1,"zinc finger, RAN-binding domain containing 1",0.586423902,0.906427807,1.172125954,0.799915043,1.019968048,1.284000578,9.393147,9.626841,9.412954,9.603713,9.763839,9.781311
Zpld1,zona pellucida like domain containing 1,-1.097122945,-0.259747597,0.14296742,-0.181509644,-0.994012293,1.796434574,3.817675,4.15335,3.695478,3.767817,4.110352,3.713339
Zpbp2,zona pellucida binding protein 2,-5.593037657,-5.139161058,-4.347612466,-6.412928968,-6.410033554,-6.580771619,4.49361,4.765868,4.488063,4.616626,4.549379,4.531045
Zpbp,zona pellucida binding protein,-1.760042101,-1.778500574,-1.860227739,-1.710099086,-1.141452379,-1.649275108,4.529492,4.674559,4.984806,4.887257,5.259062,4.710872
Zp3r,zona pellucida 3 receptor,-2.764121195,-2.532141197,-2.385363402,-2.733786953,-3.032571406,-3.124620718,5.279689,5.397367,5.113964,5.369688,5.223853,5.361961
Zp3,zona pellucida glycoprotein 3,-2.13142172,1.133968906,-0.516657411,-0.332010263,-0.936538276,0.509593368,6.123462,6.201723,6.309288,6.019525,6.319002,6.15936
Zp2,zona pellucida glycoprotein 2,0.350927311,2.080679809,0.457062535,0.368151945,0.115662172,0.396425745,4.855576,5.289343,5.084743,5.240698,4.984695,5.104071
Zp1,zona pellucida glycoprotein 1,0.381036448,1.411427183,0.659957378,-0.232803137,-0.527863586,-1.21540928,6.160253,6.163615,6.191135,5.973234,6.397882,6.053095
Znrf4,zinc and ring finger 4,-4.290756039,-4.644598293,-3.618377019,-4.792926174,-5.300909178,-4.338548549,6.615887,7.037223,6.672589,6.75309,7.144568,6.794805
Znrf3,zinc and ring finger 3,0.718716431,-0.830744814,-0.537976779,1.187982511,-0.148918479,0.985657899,8.993091,10.08951,9.52237,9.634387,9.627214,9.743355
Znrf2,zinc and ring finger 2,-0.193307742,-0.245554105,-0.446898559,-0.070445034,-0.303108673,0.034106066,8.910141,9.222265,9.195379,9.346077,9.66835,9.58573
Znrf1,zinc and ring finger 1,-0.919861835,-0.628924754,-0.461181975,-0.539554044,-0.515278416,-0.519690386,9.178113,9.408152,9.296423,9.27634,9.255465,9.309168
Znrd1as,ZNRD1 antisense RNA,-4.694944896,-4.6661238,-4.287645127,-4.9806983,-4.792480595,-4.880914667,7.458222,7.657112,7.419784,7.350341,7.410002,7.440806
Znrd1,"zinc ribbon domain containing, 1",-0.359255716,-0.074512663,0.143132234,-1.018577992,-0.572235955,-0.286988789,9.596946,9.188379,9.335043,9.552757,9.31264,9.33448
Znhit6,"zinc finger, HIT type 6",-0.248295297,0.016594561,-0.748184662,-0.037124577,-0.000381879,-0.373803911,8.818565,9.562028,9.222804,9.379463,9.260863,9.29339
Znhit3,"zinc finger, HIT type 3",1.374991636,1.841553719,1.533582525,1.448002647,1.627420104,1.901158318,7.166168,7.442863,7.22952,7.235459,7.186891,7.221372
Znhit1,"zinc finger, HIT domain containing 1",-2.202464359,-2.223252801,-2.747699312,-1.808648333,-1.948901221,-2.304333002,8.664126,8.411427,8.524698,8.4955,8.200506,8.257228
Znfx1,"zinc finger, NFX1-type containing 1",-0.444955637,-0.364777991,-0.370175218,-0.635828729,-0.613832069,-0.870321561,8.922753,8.644644,8.798194,8.539629,8.236541,8.221772
Znf512b,zinc finger protein 512B,0.239660885,-0.006710396,-0.431516888,-0.39804018,-0.74711213,-0.931068354,8.854992,8.116359,8.443902,8.274035,7.423002,7.909502
Zmynd8,"zinc finger, MYND-type containing 8",0.060230149,-0.129613428,-1.057700941,-0.192047667,-0.26721761,-0.243571556,9.30007,8.617995,8.899789,8.749869,8.569648,8.477432
Zmynd19,"zinc finger, MYND domain containing 19",0.86944212,1.337590643,0.44985893,1.559758794,1.260681402,1.094573928,9.628431,10.6535,10.24074,10.48422,10.63131,10.37476
Zmynd15,"zinc finger, MYND-type containing 15",-2.793556354,-3.052961255,-2.542826914,-1.257028532,-1.746274556,-1.384727612,7.905919,8.795362,8.162998,7.461978,7.958292,7.665092
Zmynd12,"zinc finger, MYND domain containing 12",0.038159929,0.035212194,0.247869367,0.281829304,0.489358936,-1.233169528,5.198703,5.135932,5.276268,5.208271,5.542371,5.051361
Zmynd11,"zinc finger, MYND domain containing 11",-1.264818722,-0.846985422,-0.961891282,-1.063530079,0.023145953,-0.66775018,10.32971,10.40424,10.40752,10.34536,10.21956,10.30704
Zmynd10,"zinc finger, MYND domain containing 10",-5.010215885,-5.573220283,-4.088821159,-5.939650162,-6.260698918,-6.255014851,6.050769,6.52094,5.918107,6.111922,6.507436,6.24609
Zmym6,"zinc finger, MYM-type 6",1.456828801,1.09364195,1.431960216,1.811737116,1.378869511,1.473644659,7.848194,7.884117,7.762497,7.861804,7.849535,7.929906
Zmym5,"zinc finger, MYM-type 5",1.203065981,1.361344455,1.390568428,1.349867523,0.932975817,1.458616093,10.22121,10.01286,10.22705,10.24704,9.932284,10.1583
Zmym4,"zinc finger, MYM-type 4",-0.124646794,-0.017450162,-0.004546221,0.039561014,0.09915153,0.595414027,9.506351,9.615515,9.549223,9.543282,9.256504,9.292923
Zmym3,"zinc finger, MYM-type 3",-1.001882677,-0.914174342,-1.082088431,-1.571982626,-1.226824823,-1.249758149,7.715272,6.961532,7.006547,6.993031,6.461228,6.685456
Zmym2,"zinc finger, MYM-type 2",1.742030801,1.827742134,1.84321298,1.582748856,2.555405854,2.255828796,11.03385,10.87137,10.90122,10.91176,10.54829,10.80315
Zmym1,"zinc finger, MYM domain containing 1",1.293711742,1.573988326,1.356956476,1.548827431,2.102602078,2.115136814,8.104038,8.474411,8.268495,8.232004,8.291027,8.456492
Zmpste24,"zinc metallopeptidase, STE24 homolog (S. cerevisiae)",0.884307294,0.966149943,0.589958626,0.933002144,0.753367626,0.86691079,11.62408,11.65158,11.59337,11.67843,11.44804,11.52896
Zmiz2,"zinc finger, MIZ-type containing 2",-1.695354254,-1.360219668,-1.68426215,-1.537512314,-1.779286965,-1.954888185,10.05035,10.27028,9.975361,10.11626,9.696279,10.07386
Zmiz1,"zinc finger, MIZ-type containing 1",-2.482211718,-2.713748213,-2.232788459,-2.348999017,-2.072291414,-1.958734945,11.62421,11.4411,11.55764,11.44536,11.17474,11.555
Zmat5,"zinc finger, matrin type 5",2.137555353,2.54843549,2.578175651,3.629842778,3.429234877,3.038908548,8.342542,8.028447,8.038934,7.97874,7.880607,7.531396
Zmat4,"zinc finger, matrin type 4",0.980703578,-0.878103961,-0.650154879,2.55874406,1.737413046,4.881183114,5.444488,5.549303,5.676998,5.7608,5.750996,5.767646
Zmat3,zinc finger matrin type 3,-0.017699834,-0.257676917,-0.187106803,-0.200410501,-0.359030807,-0.672972287,10.10032,10.30787,10.20683,10.16238,9.855118,10.06654
Zmat2,"zinc finger, matrin type 2",1.414522092,1.705731006,1.73531922,1.627864126,1.993125097,2.20292681,10.14239,10.18627,10.08342,10.14016,10.19195,10.07454
Zmat1,"zinc finger, matrin type 1",-0.900355058,-0.760200636,0.579931747,0.711596526,1.7210981,0.249418993,5.569656,5.542342,5.946709,5.788084,5.582991,5.979629
Zkscan6,zinc finger with KRAB and SCAN domains 6,-1.443321125,-0.987177299,-0.756014563,-1.636586709,-1.747251189,-1.019946452,8.077083,7.919464,8.02433,8.116854,8.188334,8.250208
Zkscan5,zinc finger with KRAB and SCAN domains 5,-0.480838907,-0.396371056,-0.739018276,-0.621643683,-0.965798126,-0.946616094,6.69032,6.544201,6.512682,6.507771,6.572895,6.610525
Zkscan4,zinc finger with KRAB and SCAN domains 4,0.986113097,0.018452999,-0.096379554,1.350422138,0.132476581,0.028591969,6.579047,6.426353,6.515005,6.318213,6.450729,6.594735
Zkscan3,zinc finger with KRAB and SCAN domains 3,-0.231605265,0.337122641,0.782797411,0.077129589,-1.633149465,-0.625100372,8.58766,8.738589,8.809667,8.815928,8.825031,9.018379
Zkscan2,zinc finger with KRAB and SCAN domains 2,-0.612182536,3.399770819,0.356975092,-0.493552587,-1.492792812,-0.315939874,5.31009,5.395518,5.382963,5.430072,5.486547,5.196034
Zkscan17,zinc finger with KRAB and SCAN domains 17,-1.642346029,-1.726730735,-1.761386741,-2.019201654,-2.285251524,-1.730310448,9.876109,10.09577,9.964266,10.08679,9.952724,10.09966
Zkscan16,zinc finger with KRAB and SCAN domains 16,0.373495862,0.739602208,1.237491834,0.637515968,0.478145362,0.162103767,5.660075,5.568544,5.327625,5.294142,5.874027,5.49021
Zkscan14,zinc finger with KRAB and SCAN domains 14,1.627884479,0.608088512,0.685154892,-0.466263867,1.232712609,1.468642968,7.283618,7.154777,7.231419,7.155623,7.401193,7.051885
Zkscan1,zinc finger with KRAB and SCAN domains 1,1.01368432,1.04189041,1.052920563,1.328280132,1.688435321,1.515547618,9.816389,10.04123,9.992949,9.869329,10.00958,10.00587
Zim3,"zinc finger, imprinted 3",-1.219145125,-1.095972605,-1.629661116,-1.60161825,-1.279424937,-1.602129623,4.95238,4.646623,4.77453,5.072474,5.441684,5.138016
Zim1,"zinc finger, imprinted 1",3.992787283,3.855478362,3.284479776,3.594012635,5.375512921,4.096156556,6.974001,6.137151,7.012621,6.484648,5.893394,6.116513
Zik1,zinc finger protein interacting with K protein 1,1.464011799,0.224570341,-0.341404052,-1.589296004,-1.337036272,0.401849196,6.584293,6.672174,6.449428,6.671564,6.037647,6.399669
Zic5,zinc finger protein of the cerebellum 5,3.513567641,3.126251034,2.862512414,4.540277171,2.899071218,3.647396521,6.220039,6.574852,6.406053,6.306445,6.424052,6.22018
Zic4,zinc finger protein of the cerebellum 4,-0.947243997,-1.196469853,-1.436165077,-1.623868406,-0.411175025,-0.139119269,5.783626,5.96063,5.962296,5.904927,5.962296,6.071576
Zic3,zinc finger protein of the cerebellum 3,-0.107263321,-0.272086837,-0.194889074,0.070817019,-0.029132103,-0.068640332,4.791587,4.953913,5.049173,4.781683,4.974259,4.87351
Zic2,zinc finger protein of the cerebellum 2,0.142587039,-0.064914906,0.271034076,-0.194629205,-0.178489275,-0.037667628,6.232585,6.256419,6.180979,6.185882,6.507006,6.330361
Zic1,zinc finger protein of the cerebellum 1,-2.930099609,-2.702114275,-2.599279235,-2.089668388,-2.976649993,-3.065995726,5.683275,6.211086,5.848558,6.048902,6.15388,6.004008
Zhx3,zinc fingers and homeoboxes 3,2.082092048,0.969880042,2.005380952,0.996983149,1.562415762,1.995451727,8.335665,7.845696,8.323477,7.860645,7.43841,7.742938
Zhx2,zinc fingers and homeoboxes 2,2.238317875,2.419339353,2.144306908,3.312596266,2.721376156,2.552766189,10.08556,9.930252,9.98144,10.46945,11.13047,10.8857
Zhx1,zinc fingers and homeoboxes 1,2.258820546,2.663017377,2.409315718,2.919824302,2.485083375,3.26291505,9.837885,10.01402,9.727858,10.20608,10.17998,10.22541
Zgpat,"zinc finger, CCCH-type with G patch domain",2.014606905,-0.009428173,-0.236757864,0.653641044,0.764405967,1.324244823,8.874692,9.0814,9.086472,9.14039,9.035648,9.159992
Zglp1,"zinc finger, GATA-like protein 1",-1.892378727,1.30606663,1.742329278,-1.625119101,-0.471795342,-0.240812752,6.012557,6.320465,6.295202,6.229063,6.369551,6.451625
Zg16,zymogen granule protein 16,2.27485111,3.486496321,2.715855465,0.59942148,3.22862125,-0.379395971,5.072558,5.413964,5.163555,4.802783,5.015692,4.759909
Zfyve9,"zinc finger, FYVE domain containing 9",0.873196955,0.518476295,0.436051107,-0.325925908,3.501299752,3.608429187,9.354163,9.867761,9.501165,9.663095,9.561497,9.530926
Zfyve28,"zinc finger, FYVE domain containing 28",0.351844067,0.747454723,0.042002882,-0.398084873,0.750851358,1.640893502,6.132267,6.267462,6.204101,6.260217,6.18182,6.275467
Zfyve27,"zinc finger, FYVE domain containing 27",-0.208232069,0.797925199,-1.327570465,-0.744184839,0.3339436,0.479262926,10.09965,10.80615,10.34316,10.73673,10.87538,10.72205
Zfyve26,"zinc finger, FYVE domain containing 26",0.921600921,0.761057161,1.498709578,1.305745951,1.070688925,1.289695861,8.85627,8.341868,8.559248,8.67921,8.50049,8.797473
Zfyve21,"zinc finger, FYVE domain containing 21",-0.440389958,-0.071974325,-0.596938361,1.149660808,0.982480447,1.736192238,8.554591,7.820129,8.46821,8.093343,7.77505,8.146585
Zfyve20,"zinc finger, FYVE domain containing 20",1.307833392,1.347806848,1.365488954,1.432832915,1.291739559,1.65203196,9.396879,9.889577,9.679228,9.618464,9.92771,9.867116
Zfyve19,"zinc finger, FYVE domain containing 19",0.026372339,-0.334635628,-0.20597204,0.299631138,-0.00626142,0.079061783,8.106728,7.869463,7.934939,7.790746,7.124816,7.475621
Zfyve16,"zinc finger, FYVE domain containing 16",1.524193474,1.263087349,1.416612311,1.687790523,1.590716828,1.48515676,8.873686,8.935608,8.605857,9.241867,9.002805,8.942799
Zfyve1,"zinc finger, FYVE domain containing 1",0.358643964,0.291288199,-0.196878353,0.015460502,0.133564149,0.527187941,9.705505,9.24383,9.328341,9.331442,9.156881,9.279324
Zfy2,"zinc finger protein 2, Y linked",-0.042101146,-0.815936444,-0.29256647,-0.830500791,-1.145435628,-1.066747213,4.424788,4.392441,4.475408,4.460041,4.254387,4.399048
Zfy1,"zinc finger protein 1, Y linked",-1.145517443,-1.25191319,-0.865935243,-1.139301325,-0.405333213,-0.99822156,4.024622,4.26985,4.142658,4.220599,4.423126,3.625845
Zfx,zinc finger protein X-linked,0.90196382,2.501513417,2.246087918,3.142547081,2.640242946,1.529698773,8.246637,8.239649,8.237496,8.386892,8.223238,8.424006
Zfr2,zinc finger RNA binding protein 2,-1.480103423,-2.602385981,-1.960635818,-1.435402706,-2.40396976,-1.092568415,6.483154,6.794628,6.515802,6.527785,6.804285,6.7348
Zfr,zinc finger RNA binding protein,0.884202666,0.764485738,0.811304688,0.614099818,0.731566197,0.652136844,11.51743,11.56794,11.41258,11.61141,11.54702,11.57369
Zfpm2,"zinc finger protein, multitype 2",3.674267274,4.398204013,4.057079546,2.345796021,4.638830325,1.564386937,6.661824,6.735121,6.863972,7.228268,6.953551,7.025561
Zfpm1,"zinc finger protein, multitype 1",-1.102345078,-0.226658655,-0.752960009,-0.707057173,-0.566735073,-0.588058178,9.183672,9.645965,9.536944,8.711009,8.837204,9.561685
Zfpl1,zinc finger like protein 1,-1.926857523,-1.131977327,-1.224963795,-0.054717283,-0.648696913,-1.28713492,9.367519,9.08941,9.347271,9.121702,8.871334,9.069582
Zfp963,zinc finger protein 963,2.31957276,-0.159692106,1.591900556,3.042080017,3.716254627,3.762935539,7.422827,6.907323,7.261708,6.853832,6.742383,6.631466
Zfp961,zinc finger protein 961,-0.28129075,-0.370113147,0.507600467,-0.440691433,-0.472173332,-0.340246806,7.480055,7.433795,7.633343,7.465478,7.462964,7.467405
Zfp960,zinc finger protein 960,2.165893466,2.730725907,1.687820681,3.1104788,2.564115589,2.139455422,8.447312,8.924401,8.910548,9.233638,9.334061,9.379527
Zfp959,zinc finger protein 959,1.929775923,2.63528391,0.378753941,3.216445164,3.128115435,3.43720397,7.67148,7.060963,7.346737,7.6056,7.339576,7.655445
Zfp958,zinc finger protein 958,0.648935569,2.524012784,1.709600313,1.321578559,-0.224604715,0.783112333,7.583797,7.659011,7.542061,7.530349,7.505353,7.28303
Zfp957,zinc finger protein 957,-0.974129376,-1.119857768,-1.253674952,-0.783459327,-0.430358542,-1.302840736,5.915199,6.371572,6.212973,6.330285,6.191683,5.844142
Zfp956,zinc finger protein 956,-2.315707291,-2.019162371,-2.287103432,-2.861403497,-3.354773334,-3.148528886,7.089881,7.310849,7.018186,7.088161,7.25489,7.071665
Zfp955b,zinc finger protein 955B,0.858317359,1.480011432,1.44100308,0.637527825,0.473189065,1.059589117,8.899902,9.26502,9.224319,9.448635,9.428202,9.827017
Zfp955a,zinc finger protein 955A,1.899362605,2.325244177,1.926935022,1.985185472,2.201219006,2.26982411,7.482481,7.911202,7.540121,7.709321,7.611406,7.959868
Zfp954,zinc finger protein 954,2.460612075,3.282981887,3.380001006,3.389763743,5.346489166,3.44060501,9.882854,9.575763,9.49055,10.29519,10.52324,10.25816
Zfp953,zinc finger protein 953,-0.401276964,0.122528536,-0.047052618,0.815105986,0.140909588,0.402221394,7.115573,6.321504,6.520717,6.522463,5.913791,5.975628
Zfp952,zinc finger protein 952,4.100458175,3.922863388,4.054786504,3.931661994,1.240228555,4.92913221,6.802023,6.370492,6.912224,6.764736,6.909336,6.852556
Zfp951,zinc finger protein 951,1.836307197,1.845705547,1.786537621,1.368999142,3.988179498,1.357808846,4.412897,3.710846,3.321571,5.064253,4.735677,4.907167
Zfp949,zinc finger protein 949,1.926113489,2.42359566,2.472814258,2.887467099,2.920341173,3.257852626,7.344694,7.037683,7.3482,7.658489,7.298373,7.324822
Zfp948,zinc finger protein 948,2.677936968,2.783523566,2.33679939,2.267316275,4.385466808,3.145202312,9.312496,9.4536,9.413914,9.957362,9.955088,9.863996
Zfp947,zinc finger protein 947,1.013472993,0.971085983,0.869223931,0.777268135,1.180569258,0.97130898,4.95721,4.733193,4.810295,5.152251,4.876011,4.961352
Zfp946,zinc finger protein 946,0.148614362,0.091757244,-0.189499409,0.202579543,1.11124301,0.68382437,7.079975,6.21488,6.403693,6.777544,5.805682,5.969298
Zfp945,zinc finger protein 945,-1.797136748,0.137073121,0.313166469,-1.13651898,-1.16871086,-2.308215398,8.833359,8.364421,8.513696,8.568168,8.434898,8.584102
Zfp944,zinc finger protein 944,2.533265497,2.59051013,1.423850253,3.529422225,2.626286718,3.207532175,7.08779,6.918028,6.886011,7.350931,6.895282,7.018056
Zfp943,zinc finger prtoein 943,0.727086002,0.582005341,0.744714309,0.611729424,0.877794731,0.595976241,4.488516,4.484665,4.541836,4.510379,4.405089,4.735057
Zfp941,zinc finger protein 941,0.495245227,0.215132051,0.911884953,0.222117907,0.296373831,-0.228495647,5.572361,6.026424,5.665602,5.464928,5.929804,5.896808
Zfp940,zinc finger protein 940,1.590931853,2.80454641,2.382938933,0.957423731,-0.737762992,0.420064288,6.549834,6.225517,6.15735,6.965384,6.486154,6.587601
Zfp94,zinc finger protein 94,3.132283487,-1.233284785,-0.815310912,2.090441994,0.529725225,1.293744469,6.827777,7.250006,7.139748,6.779448,7.15746,6.761105
Zfp939,zinc finger protein 939,0.34092629,0.266214361,-0.080638949,0.684513484,2.205266082,0.610990084,7.171175,7.49297,7.222324,7.42309,7.45191,7.629073
Zfp938,zinc finger protein 938,3.355534419,3.567136497,3.462104527,3.773594513,1.369656595,4.195962605,6.483139,6.115454,6.0979,6.643632,6.713609,6.403954
Zfp937,zinc finger protein 937,2.595252684,2.518311162,2.290615632,2.663090642,2.710624026,2.639732173,6.719247,7.133893,6.996565,7.01326,7.059689,6.805971
Zfp936,zinc finger protein 936,-0.86604248,-0.906064101,-0.606779669,-0.591482571,-0.445911498,-0.401257953,5.444318,5.252554,5.173011,5.302929,5.79216,5.543899
Zfp935,zinc finger protein 935,2.267425676,2.610174537,2.13186254,2.464955454,2.809021626,1.039302276,6.221455,5.93672,6.179413,5.998318,5.709815,6.046069
Zfp934,zinc finger protein 934,1.529937065,0.376441861,0.27939024,1.26248982,0.898215072,0.594865132,4.622346,4.740706,4.874786,4.587382,4.795099,4.784963
Zfp933,zinc finger protein 933,1.157299413,1.068553132,1.238047761,0.898272349,0.884641821,0.985812987,7.619925,7.199697,7.633371,7.679883,7.383233,7.727137
Zfp930,zinc finger protein 930,1.620965224,2.09012762,1.86035369,1.697513457,1.977966234,1.58666743,7.676196,8.852077,8.352004,7.937785,8.526121,8.224311
Zfp93,zinc finger protein 93,0.33628815,0.342694893,-0.102871239,0.528736619,-0.292162942,0.163266092,6.042124,6.328513,6.023227,6.003007,6.042124,5.961534
Zfp92,zinc finger protein 92,-1.536860878,-0.391153697,-1.116184037,-2.398653043,-0.299088325,-1.371481983,5.279105,5.279105,5.465956,5.156917,5.378772,5.239135
Zfp90,zinc finger protein 90,0.140893172,0.067937967,0.20784366,0.197275377,0.055850513,0.109255668,7.259093,7.049815,7.157171,6.937351,6.265317,6.572124
