!Sample_title,Gene_name,Gene_description,Stromal vehicle replicate 1,Stromal vehicle replicate 2,Stromal vehicle replicate 3,Stromal estrogen replicate 1,Stromal estrogen replicate 2,Stromal estrogen replicate 3
A_52_P68221,Gria3,"glutamate receptor, ionotropic, AMPA3 (alpha 3)",2.682675535,4.737110254,4.426564181,5.165718053,6.102778824,6.115532515
A_55_P1997921,1700025C18Rik,RIKEN cDNA 1700025C18 gene,3.103123479,3.835349647,3.728675534,5.336082011,6.098990242,6.113419635
A_55_P2269894,4833417C18Rik,RIKEN cDNA 4833417C18 gene,0.168645308,0.512832333,0.672526014,0.018382022,0.357746873,6.076805286
A_55_P2243261,9530097N15Rik,RIKEN cDNA 9530097N15 gene,4.053517626,4.518136628,3.402858345,4.723064582,4.288217461,6.041832651
A_52_P164394,Fktn,fukutin,1.221270887,1.726932338,3.197161591,4.51130727,3.745820051,6.027327121
A_51_P469480,Yes1,Yamaguchi sarcoma viral (v-yes) oncogene homolog 1,3.666696755,4.393340232,4.224623266,5.217987753,6.080105898,6.02554173
A_52_P88722,Senp7,SUMO1/sentrin specific peptidase 7,3.768302687,4.671732237,3.706860311,2.687671752,5.78317781,5.99435724
A_51_P209818,Prtn3,proteinase 3,0,0,0,4.971869227,4.611102287,5.957481565
A_51_P249930,Tceal1,transcription elongation factor A (SII)-like 1,3.534823454,3.556239347,2.768003409,3.894855706,4.198513488,5.933531298
A_51_P311919,Npy2r,neuropeptide Y receptor Y2,2.107711041,4.823068723,4.679771241,6.050221717,5.774237016,5.926458926
A_55_P2304709,G630022F23Rik,RIKEN cDNA G630022F23 gene,3.655486688,4.637275757,3.992869871,5.813921859,5.526573209,5.920650652
A_51_P432794,Fam115c,"family with sequence similarity 115, member C",4.03039608,4.232777508,3.885822167,4.295997104,5.694851104,5.914499526
A_55_P2014657,Vmn2r97,"vomeronasal 2, receptor 97",1.728137834,0.198013201,0.912109454,4.178151751,3.199564162,5.907584191
A_51_P171936,A630033H20Rik,RIKEN cDNA A630033H20 gene,4.826906487,4.432896121,3.580067638,5.440982784,5.962245797,5.872061096
A_51_P370640,Zcchc5,"zinc finger, CCHC domain containing 5",2.21412495,1.631138001,2.446008661,5.065531264,3.309104942,5.843817299
A_52_P168338,Fundc2,FUN14 domain containing 2,3.579132309,4.753525305,3.266265732,4.921349041,6.386062866,5.829378275
A_55_P1959683,Xlr3b,X-linked lymphocyte-regulated 3B,4.852955643,4.450011867,4.631815055,0,4.875005887,5.820478978
A_55_P2074429,Ralyl,RALY RNA binding protein-like,0,0.244717435,0.232391187,0.439482951,0.110628492,5.801058332
A_51_P444290,Slamf8,SLAM family member 8,3.514306195,4.092132649,3.563527713,4.612917514,5.234366774,5.76621237
A_55_P2079354,Gm5326,predicted gene 5326,0.793983404,0.601214347,0.749905647,0.391336257,5.751854415,5.765410143
A_52_P475738,Nln,neurolysin (metallopeptidase M3 family),1.450083697,2.938271946,2.285286598,4.539355341,6.177997815,5.7642139
A_55_P2041444,Xlr3a,X-linked lymphocyte-regulated 3A,4.44617283,4.480804533,4.535799375,4.707675434,6.660390429,5.755800973
A_55_P2022678,C1qtnf1,C1q and tumor necrosis factor related protein 1,3.233416792,3.82746483,3.260184816,5.485429139,5.815526849,5.679750001
A_55_P1955687,Alg6,"asparagine-linked glycosylation 6 homolog (yeast, alpha-1,3,-glucosyltransferase)",4.016182435,4.680110642,3.873134623,1.579948879,3.934212802,5.669179381
A_55_P2156244,Olfr509,olfactory receptor 509,5.512087034,4.924422545,5.121309701,5.599164211,5.85878838,5.653165335
A_55_P2122110,Olfr307,olfactory receptor 307,3.051669401,3.646461686,3.500142114,4.746429515,6.85451511,5.652733403
A_55_P2019690,Slc43a1,"solute carrier family 43, member 1",4.379648694,4.449722137,4.349927659,3.347516703,5.17971178,5.63733467
A_66_P140335,Mbnl3,muscleblind-like 3 (Drosophila),0,0,0,0.500834246,0,5.632538738
A_51_P502798,Fam55d,"family with sequence similarity 55, member D",4.811780628,4.71721415,4.167216152,4.592838997,6.062807183,5.628734653
A_51_P377210,5830433M19Rik,RIKEN cDNA 5830433M19 gene,3.365236545,3.8173175,3.979795984,4.814527742,5.382773693,5.612960328
A_55_P2132805,Rsf1,remodeling and spacing factor 1,2.460050706,2.66972613,2.139745033,2.716736088,5.670483497,5.581034591
A_52_P597461,Skil,SKI-like,3.291604254,3.736640787,3.524448793,4.150713546,4.662501746,5.575318021
A_52_P360650,Abcb7,"ATP-binding cassette, sub-family B (MDR/TAP), member 7",3.888973993,4.014607987,3.049963236,5.048892574,6.366492385,5.555951194
A_52_P668855,9330154J02Rik,RIKEN cDNA 9330154J02 gene,1.649372528,2.076178155,4.087785465,4.27760109,6.024806589,5.547415526
A_55_P2180181,0610006L08Rik,RIKEN cDNA 0610006L08 gene,0,0,0,0,1.291140019,5.495597501
A_55_P2080633,Zfp295,zinc finger protein 295,3.949106991,3.936165392,2.369027615,2.293405339,4.003586747,5.466348147
A_51_P207988,Ptger4,prostaglandin E receptor 4 (subtype EP4),3.903416176,3.627535008,3.626058455,4.941614335,4.074980076,5.444701219
A_55_P2402312,D030062O11Rik,RIKEN cDNA D030062O11 gene,2.300855206,3.400888062,2.474932169,3.266005626,2.814876099,5.44188089
A_66_P105585,Slfn8,schlafen 8,3.844853674,4.228767075,3.837295795,5.221992837,5.837842783,5.429418166
A_55_P2133100,Ccdc50,coiled-coil domain containing 50,3.736844805,4.200444846,3.824974399,4.830687889,4.450661766,5.427317116
A_55_P2143351,AU015228,expressed sequence AU015228,5.552581918,5.3428666,5.303649225,4.37397486,6.73152137,5.427192444
A_52_P653937,Rpl21,ribosomal protein L21,4.143020225,4.430705217,4.737481565,3.990169612,5.623200767,5.426351249
A_52_P126403,Tmem26,transmembrane protein 26,4.379543989,6.393537784,4.224076801,5.318612596,6.046978435,5.424074508
A_52_P357469,Frk,fyn-related kinase,4.990651337,3.287411385,4.445500903,6.149289184,6.189018014,5.42174098
A_52_P324986,Srprb,"signal recognition particle receptor, B subunit",1.371381942,2.994733112,1.367568368,2.013818043,4.790288642,5.42104827
A_52_P250400,Pcdh20,protocadherin 20,4.068811466,4.302175306,3.81915311,4.774879281,5.31055946,5.41758562
A_55_P2005605,Olfr576,olfactory receptor 576,2.867489354,2.353836481,1.8328635,4.540385782,2.230290329,5.410316666
A_51_P108183,Tnmd,tenomodulin,5.003551056,2.107765496,3.482599272,5.972002138,6.568327678,5.402962874
A_55_P2016647,Cdk1,cyclin-dependent kinase 1,2.897699356,3.404362119,2.930647674,3.558885845,4.297373209,5.40163173
A_55_P2162204,Kctd15,potassium channel tetramerisation domain containing 15,1.043236495,1.002932489,3.45491048,1.298474864,1.976513726,5.394521943
A_51_P261835,Tmem8c,transmembrane protein 8C,4.389524923,3.258689231,3.42067922,2.731955225,3.197184458,5.388703046
A_55_P2275969,9630023C09Rik,RIKEN cDNA 9630023C09 gene,4.109413091,5.222010503,4.22602959,5.541700124,6.372141323,5.378870723
A_55_P1998937,H2-M11,"histocompatibility 2, M region locus 11",3.210240315,3.743308519,4.144995596,1.969548147,3.653447099,5.378721676
A_55_P2024883,Hhipl1,hedgehog interacting protein-like 1,4.111434742,4.286928021,2.541373079,5.323866084,5.038161816,5.364763381
A_55_P2064230,Tmx3,thioredoxin-related transmembrane protein 3,2.810031718,4.201871372,4.034030649,4.173220347,4.775438631,5.363339913
A_52_P549927,5730455P16Rik,RIKEN cDNA 5730455P16 gene,3.42349888,4.334658506,3.812134949,5.493906626,5.210309145,5.350373629
A_55_P2043509,Hnmt,histamine N-methyltransferase,2.85407149,3.432677242,2.957115745,5.132970212,5.704929473,5.347343174
A_55_P2075191,Has2as,HAS2 antisense RNA (non-protein coding),3.021822862,3.091114065,3.796138577,3.747457426,5.72076546,5.340359419
A_51_P137111,Chek2,CHK2 checkpoint homolog (S. pombe),0.071036801,0.047771007,0.698211112,0.898367682,0.534384217,5.331639233
A_55_P2110316,Hcrt,hypocretin,2.157330742,2.186924851,2.267917519,3.911502641,2.954261506,5.324875376
A_51_P422335,Zfp420,zinc finger protein 420,3.618529997,2.840204653,1.126073683,4.186300455,2.666304078,5.316700412
A_55_P2030045,Barx2,BarH-like homeobox 2,0.728529738,2.733387471,2.560831763,4.697124057,5.428056399,5.30775356
A_55_P2060238,Itgbl1,"integrin, beta-like 1",2.683921274,2.953981624,2.234486568,4.136207811,5.101159382,5.287156397
A_55_P2062133,Etv3,ets variant gene 3,3.471145956,3.337544729,3.874058179,4.092134656,4.920283293,5.273320716
A_51_P243094,Vmn1r42,vomeronasal 1 receptor 42,3.434468056,4.275049089,3.696916217,2.235476841,1.767820676,5.269435173
A_52_P156158,Grpel1,"GrpE-like 1, mitochondrial",2.821134499,4.49885591,3.895476677,1.307102244,2.389839512,5.269212787
A_52_P147487,Col13a1,"collagen, type XIII, alpha 1",0,0.001925205,0,0.429498388,0,5.260119801
A_55_P2077228,Cenpl,centromere protein L,2.208429297,3.394093909,2.122685393,2.357652083,4.627067264,5.25872406
A_52_P526372,Zeb2,zinc finger E-box binding homeobox 2,3.948690216,4.111914235,3.288794763,4.742796652,4.312193609,5.256431979
A_66_P135937,Metrnl,"meteorin, glial cell differentiation regulator-like",2.033717469,3.613483985,3.545689403,2.639545042,5.299742499,5.255064454
A_52_P561205,Stard4,StAR-related lipid transfer (START) domain containing 4,3.548802571,3.707842945,3.356474146,5.727475385,4.989079496,5.2403645
A_51_P374991,Vmn2r29,"vomeronasal 2, receptor 29",1.870518045,1.051367577,1.129050339,1.738316543,0.971346599,5.235693929
A_55_P2112504,Kcnv2,"potassium channel, subfamily V, member 2",3.107723822,3.871539046,3.773364188,4.541115274,4.424665047,5.233920105
A_55_P2236607,Ccnc,cyclin C,3.468126225,4.085109284,4.233830923,4.610993652,5.564664383,5.233538198
A_55_P2035167,Pcdh7,protocadherin 7,3.793829513,2.857508631,3.421379018,4.798860301,5.706270507,5.228979606
A_51_P437978,Agtr2,"angiotensin II receptor, type 2",2.996457454,3.416173103,3.677374837,4.959425741,4.841461462,5.224391668
A_55_P2062314,2900041M22Rik,RIKEN cDNA 2900041M22 gene,1.857961137,1.932364365,1.693317933,1.321712148,3.947077449,5.220948493
A_55_P2181557,Nnmt,nicotinamide N-methyltransferase,4.502369308,4.799974726,4.454660026,5.516132968,6.199265966,5.21997437
A_52_P42245,Klrb1a,killer cell lectin-like receptor subfamily B member 1A,0,0,1.072798058,2.806858024,5.593016358,5.191164334
A_51_P174720,Ccdc43,coiled-coil domain containing 43,3.62914866,4.53968147,4.126329761,4.608112126,5.339721413,5.180367806
A_55_P2035326,D5Ertd605e,"DNA segment, Chr 5, ERATO Doi 605, expressed",0.249274763,4.104875185,0,0.67483163,2.750063042,5.176485566
A_51_P466673,Srsf7,serine/arginine-rich splicing factor 7,2.336830849,2.488061271,2.295434561,2.373158627,3.979655905,5.167867883
A_55_P2085756,Olfr1261,olfactory receptor 1261,2.28254131,2.815090008,2.516942199,2.805398656,5.085884976,5.164385477
A_55_P2044143,Loxl4,lysyl oxidase-like 4,4.166116574,4.644906508,4.290198104,3.731448286,4.158055114,5.157318716
A_55_P1955364,Crygc,"crystallin, gamma C",4.912733513,4.097953201,3.75022551,4.942075355,5.736902524,5.155373735
A_52_P384901,Wdr43,WD repeat domain 43,2.452313297,2.879579,3.11411696,3.996108795,3.707765565,5.15370183
A_55_P2069226,Prr16,proline rich 16,3.792042019,2.633050054,2.93930855,2.14177107,4.379205312,5.132806572
A_55_P2090924,Tbc1d8b,"TBC1 domain family, member 8B",3.547646502,3.712030473,3.830920107,4.082415921,5.167355653,5.122794483
A_51_P437478,Zfp566,zinc finger protein 566,2.677652793,2.818175643,2.405689097,3.03041748,3.715297101,5.120736632
A_55_P2043377,Gm9258,predicted gene 9258,0.988730618,1.528793581,0.988430494,1.882823722,2.610920511,5.112034711
A_51_P227275,Csn3,casein kappa,4.066088465,2.946247206,2.697093133,0.049114445,1.392024972,5.111381792
A_55_P2004761,H2-Eb2,"histocompatibility 2, class II antigen E beta2",2.712481246,3.805971519,3.253243254,4.075802509,6.136191813,5.108695697
A_55_P2182172,Mnx1,motor neuron and pancreas homeobox 1,5.729137967,5.686750564,5.390305276,6.486013504,7.181944119,5.100536365
A_51_P216496,Tfpi2,tissue factor pathway inhibitor 2,2.92050617,3.139089509,3.316808584,3.84731358,5.035775616,5.093695503
A_51_P455326,Sele,"selectin, endothelial cell",4.558753421,0.28766119,1.783518387,3.575467534,2.354880802,5.078697376
A_55_P2014802,Vmn1r41,vomeronasal 1 receptor 41,6.056531337,5.939643822,5.118101332,5.998747025,5.692608882,5.073876361
A_55_P2073227,Gm2178,predicted gene 2178,2.69427483,3.202359161,2.858482192,4.330996586,3.825715279,5.073846755
A_55_P2084319,Polr3f,polymerase (RNA) III (DNA directed) polypeptide F,3.028262512,2.558597927,2.579723874,4.032702654,3.184671233,5.071445111
A_51_P427530,Pgm1,phosphoglucomutase 1,2.536916809,2.997568407,2.430325502,3.02615871,4.44803053,5.066231137
A_55_P2147803,Madcam1,mucosal vascular addressin cell adhesion molecule 1,1.085716242,2.481740927,0.712951285,4.804885785,2.475427359,5.062843666
A_55_P2346659,A330058E17Rik,RIKEN cDNA A330058E17 gene,2.325140952,0.967538414,0.51340887,5.041857908,5.914748978,5.057565406
A_51_P346923,Lepre1,leprecan 1,3.072709591,4.320260416,3.719887412,3.943458123,4.403116895,5.04962205
A_65_P03197,AW551984,expressed sequence AW551984,3.81158302,3.959377048,3.192747562,4.197310053,5.438423266,5.040248615
A_52_P116006,Gda,guanine deaminase,4.630177484,4.52374939,3.714944713,4.734146196,6.207655664,5.03087163
A_55_P2176035,LOC100504449,ephrin type-A receptor 10-like,1.414542372,4.076166989,2.834712474,1.89432898,0.113637531,5.021318613
A_51_P264825,Lag3,lymphocyte-activation gene 3,0,0,0,4.2598083,5.35201295,5.018205456
A_51_P103054,Adamts19,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 19",4.079457344,0.522317787,0.412031898,3.956555155,4.780914496,5.017436068
A_52_P594410,Msc,musculin,3.336840845,4.68084925,3.60423286,5.374322197,5.813392938,5.015300698
A_55_P1997151,Klri1,killer cell lectin-like receptor family I member 1,4.014832894,4.206298688,3.647776473,4.080901845,5.104751618,5.010640856
A_51_P499776,Denr,density-regulated protein,3.256905021,3.894946379,2.039630621,4.61663731,4.932566156,5.00268254
A_55_P1997554,Kcnn3,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3",2.804303193,0.792446315,2.684344999,3.495095444,5.429803054,5.000675643
A_52_P136138,Fdft1,farnesyl diphosphate farnesyl transferase 1,2.122757945,2.229738776,1.975790478,2.394102379,4.235354962,4.999309335
A_55_P2004876,Srpx2,"sushi-repeat-containing protein, X-linked 2",2.925527399,3.612899955,3.539646208,4.581899674,3.80758756,4.996378163
A_55_P2086852,Lipo2,"lipase, member O2",3.055809204,3.52859263,3.639058597,5.131950097,4.370398013,4.991631115
A_55_P2237197,A930015G24Rik,RIKEN cDNA A930015G24 gene,4.444603752,4.196148676,4.105144909,3.863525381,5.304405441,4.978344907
A_55_P2039479,Twistnb,TWIST neighbor,2.6831127,3.433952797,2.841376045,4.630593599,5.613172997,4.977248935
A_55_P1954176,Wdr44,WD repeat domain 44,4.066796381,4.315249879,3.844997734,4.581537815,6.339072626,4.97671765
A_52_P366047,Rpp40,ribonuclease P 40 subunit (human),4.655491555,3.963883066,2.368265461,4.690463085,5.94004751,4.97671765
A_52_P475854,Nol10,nucleolar protein 10,3.087426794,4.281585252,3.628720815,5.153228084,4.183936575,4.973182881
A_55_P2023161,Gm13084,predicted gene 13084,1.075244166,0.32490242,1.039849001,3.855387419,0.456042511,4.971344249
A_52_P438036,Lpar4,lysophosphatidic acid receptor 4,2.570108048,2.963269579,2.866508939,2.931250639,4.806790752,4.966830573
A_51_P277629,Zfp81,zinc finger protein 81,2.800625624,3.286767702,2.968006946,4.213832783,3.5211978,4.94927647
A_51_P382912,Slc2a10,"solute carrier family 2 (facilitated glucose transporter), member 10",3.912431122,3.697211033,3.318929819,4.910112937,5.163361836,4.948806991
A_55_P2008186,Zfp952,zinc finger protein 952,4.100458175,3.922863388,4.054786504,3.931661994,1.240228555,4.92913221
A_52_P309166,St6galnac5,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",3.456538475,0.649980904,2.877874029,4.259693872,4.073022156,4.924598172
A_55_P2130032,Zfp599,zinc finger protein 599,3.237294975,3.555682503,3.159773953,3.508109778,2.711835872,4.920200463
A_51_P248857,6230427J02Rik,RIKEN cDNA 6230427J02 gene,0,0,0.827940806,3.818130054,4.48184474,4.914826905
A_52_P658320,Mfsd7a,major facilitator superfamily domain containing 7A,4.317028378,2.631692164,3.742304039,3.557400841,4.365923626,4.904015087
A_52_P314157,3110054G05Rik,RIKEN cDNA 3110054G05 gene,2.980002719,4.424242747,3.418620157,3.756054868,2.544991583,4.902060451
A_51_P301994,Rg9mtd1,RNA (guanine-9-) methyltransferase domain containing 1,3.197092211,3.518915639,3.210019883,4.946522403,5.134570819,4.899476415
A_55_P2291776,4833447P13Rik,RIKEN cDNA 4833447P13 gene,2.805451612,3.745189278,3.992212263,3.998634167,2.009090286,4.897829531
A_55_P2046443,Duoxa1,dual oxidase maturation factor 1,3.278566933,4.955560316,3.255306767,4.542414962,6.177651296,4.897190828
A_51_P352411,Nudcd1,NudC domain containing 1,3.686103283,3.923314966,3.79714977,4.788217806,4.796400599,4.893660381
A_51_P108973,4931414P19Rik,RIKEN cDNA 4931414P19 gene,4.92226219,4.132541484,4.021541501,4.764743811,4.304891204,4.891621541
A_52_P79506,Zfp667,zinc finger protein 667,2.805531702,3.038339136,3.080241867,4.347252057,5.001597811,4.886219486
A_55_P1977676,Npy2r,neuropeptide Y receptor Y2,1.555979854,4.288346825,4.608796578,6.587280006,6.897888157,4.883655044
A_51_P422685,Zmat4,"zinc finger, matrin type 4",0.980703578,0,0,2.55874406,1.737413046,4.881183114
A_55_P2122384,Pnpt1,polyribonucleotide nucleotidyltransferase 1,2.486150724,3.671233526,4.219283958,4.462648226,6.071324933,4.874047698
A_55_P1969876,Morf4l2,mortality factor 4 like 2,3.861559393,4.00098882,3.745940821,5.052648535,5.310830674,4.872393173
A_51_P286995,3110001I22Rik,RIKEN cDNA 3110001I22 gene,2.987760796,3.520559671,2.913403072,2.997433356,4.098320722,4.872171562
A_51_P264769,Dmp1,dentin matrix protein 1,0.227480887,0.83913518,0.35860499,0.296994228,3.336121397,4.863861571
A_52_P404942,ORF63,open reading frame 63,0,0.210783685,0,1.41346087,2.12973554,4.861061423
A_51_P141012,Slitrk1,"SLIT and NTRK-like family, member 1",0,0.167434007,0,4.309960637,5.196910176,4.860624086
A_51_P100852,Fam26f,"family with sequence similarity 26, member F",2.89895397,2.515128202,0.19471317,3.997202716,4.582166124,4.85065536
A_55_P2064542,Uba3,ubiquitin-like modifier activating enzyme 3,3.529615975,4.966283407,3.338143642,4.758453947,5.079202005,4.846442925
A_55_P2277019,Loxl3,lysyl oxidase-like 3,2.56818884,0.380235516,0.334901379,3.971388203,3.794669622,4.833895496
A_52_P350950,Dennd2c,DENN/MADD domain containing 2C,3.038024876,4.615068605,3.670505848,4.431582278,4.639812669,4.830137624
A_66_P138055,Dsc3,desmocollin 3,3.478946862,3.170045024,3.052535035,2.341179514,3.525902039,4.828036454
A_55_P2185323,Gmps,guanine monophosphate synthetase,3.016321037,4.035765788,3.535508212,4.366128507,3.873000297,4.823595592
A_55_P2085340,Abhd12b,abhydrolase domain containing 12B,3.260578316,3.683100447,3.104355595,4.159232115,6.50746577,4.815671512
A_55_P2031058,Mc2r,melanocortin 2 receptor,0.775300628,2.321459333,0.981793158,1.202525055,0.943705526,4.815453341
A_55_P2315012,4930458D05Rik,RIKEN cDNA 4930458D05 gene,2.209555051,0.076291057,0.33089665,0.080759095,0,4.814485156
A_55_P2345425,Sat2,spermidine/spermine N1-acetyl transferase 2,2.947870476,4.25095016,3.046346901,3.894091487,4.27332076,4.813786347
A_55_P2424921,1300014J16Rik,RIKEN cDNA 1300014J16 gene,0.415654051,0.001090193,0.83704876,0.482662341,0,4.808271532
A_55_P2169499,Fgf20,fibroblast growth factor 20,3.028762003,4.690101352,3.291345935,0.250875519,0.286815759,4.808088809
A_55_P2065059,Wnt2,wingless-related MMTV integration site 2,3.608188014,3.884184227,0.96667653,5.085973747,4.659483373,4.804456141
A_66_P135165,Nfib,nuclear factor I/B,2.349625447,2.310160311,2.293638611,2.562025598,3.129338637,4.801871021
A_52_P563825,B3galt1,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1",4.161664647,3.975822655,3.856735368,4.955823459,4.79623404,4.799901481
A_51_P208922,Stc2,stanniocalcin 2,2.933060636,3.026584003,2.325956888,2.300920642,4.223318197,4.79576694
A_51_P252199,Mmgt1,membrane magnesium transporter 1,1.98271646,2.42543094,2.171548243,2.452014218,2.760736019,4.779104269
A_52_P9289,Fam172a,"family with sequence similarity 172, member A",3.103869406,3.037441952,2.840898212,4.296287072,3.842814897,4.775531451
A_51_P187461,Rel,reticuloendotheliosis oncogene,3.189156271,3.400869902,2.958768318,4.407792761,4.039643152,4.773901244
A_55_P2157897,Igsf10,"immunoglobulin superfamily, member 10",3.883980259,3.296962644,4.581458784,4.122400538,3.964236554,4.760933159
A_51_P472531,Arsk,arylsulfatase K,1.27081389,1.921120435,1.163141662,4.293914123,4.05479692,4.753888572
A_51_P444645,Lect1,leukocyte cell derived chemotaxin 1,3.016037192,3.583217592,3.211938737,4.683116379,5.129387305,4.753883724
A_55_P2151521,Mfap3,microfibrillar-associated protein 3,2.676328182,1.79891703,1.343159,2.551229769,3.209709915,4.753592665
A_55_P1980893,Gm9919,predicted gene 9919,4.126050802,3.693354539,3.696915714,4.773881249,4.640646556,4.751581701
A_65_P05316,Zfp182,zinc finger protein 182,2.514070757,4.447953321,3.334219362,2.92678739,3.715970754,4.751526474
A_52_P537696,Mettl8,methyltransferase like 8,3.726296295,4.615106252,3.267582478,5.528173961,4.789158272,4.748081519
A_51_P187625,Cabp2,calcium binding protein 2,1.132185349,3.867772954,2.719142695,1.142264816,2.178366903,4.747676851
A_55_P2159860,Zfp58,zinc finger protein 58,4.118871895,4.261310853,3.413175014,4.741291111,4.701358985,4.741888073
A_66_P100165,Serpini1,"serine (or cysteine) peptidase inhibitor, clade I, member 1",2.782561154,3.363172525,1.659309494,4.34060022,4.070605042,4.740031648
A_55_P2030046,Barx2,BarH-like homeobox 2,0.195688636,0,1.992733232,4.263602304,5.843316243,4.736457215
A_55_P2107830,Sip1,survival of motor neuron protein interacting protein 1,3.511544294,3.569906005,3.00407887,4.645103171,3.327556127,4.731850306
A_52_P499028,9130008F23Rik,RIKEN cDNA 9130008F23 gene,3.263502936,3.82879019,0.871692,4.147346477,4.438230905,4.725042419
A_55_P1980200,Adamts12,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 12",3.726122665,4.020496833,3.486978817,5.551931275,5.73651423,4.724054248
A_51_P143893,Steap4,STEAP family member 4,2.955502004,3.618805762,2.965268852,4.205775205,4.362759593,4.723759883
A_51_P408430,Col24a1,"collagen, type XXIV, alpha 1",4.450681759,2.937029844,3.495778897,2.831986133,3.693322869,4.709552249
A_55_P1974005,Tnfrsf23,"tumor necrosis factor receptor superfamily, member 23",2.537518498,0,0,1.171453681,0.523205333,4.709527579
A_51_P497821,Zfp790,zinc finger protein 790,3.385168532,4.730503322,3.40669821,4.40234631,5.804811165,4.706919701
A_55_P2161214,Thsd7a,"thrombospondin, type I, domain containing 7A",5.166992937,3.906598297,4.675093256,5.39931211,5.177518249,4.704624035
A_55_P2175977,Vmn2r35,"vomeronasal 2, receptor 35",3.246052856,3.90948462,3.397611617,2.8612833,5.06326234,4.697005368
A_55_P2156823,Pms2,postmeiotic segregation increased 2 (S. cerevisiae),3.060101672,3.586581134,3.145696757,4.308481988,3.914667757,4.695265335
A_55_P2038882,Niacr1,niacin receptor 1,3.130700871,3.611826954,3.32298995,4.776081311,4.665952755,4.694920247
A_52_P177847,Tril,TLR4 interactor with leucine-rich repeats,2.798789797,4.071274416,3.416208961,4.149935005,4.009348257,4.686061499
A_52_P385536,Ddx58,DEAD (Asp-Glu-Ala-Asp) box polypeptide 58,3.253077872,3.781151478,3.083214444,4.442911959,5.641144637,4.685650207
A_51_P464918,Mefv,Mediterranean fever,1.380426746,0,1.223594827,3.311338308,0.00182154,4.679666861
A_51_P386562,Ebf2,early B-cell factor 2,3.028592548,3.639450347,3.163682315,4.587727748,4.73384223,4.671699233
A_52_P327381,Fndc4,fibronectin type III domain containing 4,3.098122641,3.964072401,2.946068985,3.837877039,3.797259358,4.670803629
A_55_P1969058,Epha7,Eph receptor A7,1.451509998,1.701022447,1.423638391,1.391904415,3.202697634,4.66205482
A_55_P1990535,Kcne4,"potassium voltage-gated channel, Isk-related subfamily, gene 4",3.115510245,3.920504886,4.279259022,4.798559685,6.678256435,4.659791174
A_66_P126819,Gm10851,predicted gene 10851,3.383990849,4.229030177,3.65688613,3.669493841,3.884291967,4.659644821
A_52_P495372,Peo1,progressive external ophthalmoplegia 1 (human),2.60588434,3.47991152,1.969516055,3.558513052,3.69341561,4.659199092
A_52_P110741,Pcdhb5,protocadherin beta 5,1.092588773,0.311274544,1.501310384,4.073388575,4.708058108,4.642006034
